No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
401,AXGN,RUT,Healthcare,Medical Devices,USA,456220000.0,-999.0,-999.0,-999.0,3.0,4.66,11.82,-999.0,0.9,-999.0,-999.0,-0.07,0.4008,0.8607,-0.1728,-999.0,0.1365,0.1167,0.0714,0.0585,0.007,0.7565,0.0423,0.034,-0.2332,-0.1416,3.28,2.42,0.68,0.69,0.8153,-0.1526,0.0729,0.3022,0.8403,0.1765,1.06,0.2739,-0.0019,2.0725,-0.8135,61.9812,Mar 05/b,10.6,34031.0,False,False,4
4169,VEON,-999,Communication Services,Telecom Services,Netherlands,1680000000.0,-999.0,-999.0,-999.0,0.46,1.57,0.7,-999.0,34.29,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.1746,-0.545,1.1285,0.0014,0.0,0.2148,-0.3297,0.0006,1.1228,0.2879,0.97,0.97,3.04,4.55,-999.0,0.3368,0.0737,0.2559,0.1986,0.214,1.63,0.1943,-0.0033,0.6551,-0.9775,2.9833,Nov 20/b,23.9,0.0,False,True,1
2829,NNBR,-999,Industrials,Conglomerates,USA,242910000.0,-999.0,-999.0,-999.0,0.49,1.69,11.15,17.3,0.46,-999.0,-999.0,-0.08,-0.4737,-0.0714,0.1475,0.15,-0.0825,-0.0224,-0.5814,0.0809,0.0132,0.5586,-0.0604,0.0325,-0.1754,-0.1315,2.18,1.38,0.89,0.94,0.0436,-0.1094,0.071,0.3087,1.1198,1.3318,3.05,0.2806,-0.0039,4.3051,-0.8441,5.1807,Nov 06/a,5.13,118650.0,True,False,4
3061,PAGP,-999,Energy,Oil & Gas Midstream,USA,3320000000.0,15.35,10.02,-999.0,0.07,2.17,12.65,2.21,1.33,0.075,0.7663,0.47,0.6109,0.0358,0.0335,0.0,0.1384,-0.0199,4.5556,0.0271,0.0118,0.8424,0.0144,0.0531,0.2982,0.0432,0.98,0.84,4.9,4.9,0.0361,0.0081,0.0413,0.0293,0.0583,0.2321,1.51,0.0493,-0.01,0.4317,-0.8031,4.5526,Feb 09/a,16.88,1006694.0,True,True,3
681,BYRN,-999,Industrials,Aerospace & Defense,USA,249700000.0,-999.0,84.07,-999.0,5.86,5.9,12.18,83.51,0.93,-999.0,-999.0,-0.08,0.6306,1.9878,-0.1039,-999.0,4.2374,-0.0236,-4.9841,0.2154,0.0059,0.2583,-0.04,0.0335,-0.1855,-0.188,4.42,2.81,0.03,0.04,0.5545,-0.1921,0.1535,0.8948,1.2299,0.2473,1.62,0.6673,-0.0113,4.1826,-0.7162,26.995,Feb 14/b,11.35,93617.0,False,False,4
793,CFBK,-999,Financial,Banks - Regional,USA,142350000.0,8.31,-999.0,-999.0,1.27,0.91,-999.0,8.19,-999.0,0.0111,0.0913,-999.0,-999.0,-999.0,0.2139,-999.0,0.4356,0.3618,-0.0966,0.4196,0.0022,0.2421,-0.0133,0.001,0.115,0.0593,1.11,-999.0,0.84,0.84,-999.0,0.1509,-0.0028,0.0679,0.4248,-0.0368,0.53,0.1158,-0.0136,0.4777,-0.9562,2.5868,Feb 07/b,21.7,100002.0,True,True,6
1045,CTRN,-999,Consumer Cyclical,Apparel Retail,USA,251760000.0,-999.0,-999.0,-999.0,0.34,1.65,4.21,-999.0,6.99,-999.0,0.0,0.8,-1.8947,0.6993,0.474,0.25,0.0214,-0.0666,-1.1553,0.0453,1.1063,0.9689,-0.0966,0.122,-0.0571,-0.0254,1.31,0.48,1.29,1.59,0.3567,-0.012,0.0044,0.0578,0.1792,-0.0097,2.38,0.0872,-0.0157,1.0753,-0.7355,3.4,Nov 28/b,29.48,10042378.0,True,True,3
4099,UIS,RUT,Technology,Information Technology Services,USA,545070000.0,-999.0,53.13,-999.0,0.27,-999.0,1.42,11.06,5.63,-999.0,-999.0,0.2,-0.7303,-0.4944,-0.0387,0.09,-0.081,0.0074,-0.236,0.0335,0.0,0.8759,0.0102,0.0272,-999.0,-0.5415,1.39,1.37,-999.0,-999.0,0.2895,-0.1275,0.1257,0.2414,0.6709,0.3885,1.08,0.2647,-0.016,2.0654,-0.984,2.0654,Feb 21/b,7.97,0.0,False,True,3
3976,TNP,-999,Energy,Oil & Gas Midstream,Greece,752690000.0,2.2,2.7,0.22,0.8,0.46,1.91,-999.0,13.04,0.0401,0.0419,2.23,0.2721,0.2029,-999.0,0.1,0.1572,-0.1657,-0.433,0.279,0.0,0.1817,0.2353,0.0156,0.2423,0.1047,1.54,1.49,0.96,0.96,0.4359,0.355,0.0497,0.0167,0.1589,0.1988,-0.15,0.081,-0.0166,0.6388,-0.87,2.7633,Nov 21/b,24.94,0.0,False,True,5
2473,MAC,RUT,Real Estate,REIT - Retail,USA,3710000000.0,-999.0,-999.0,-999.0,4.21,1.52,19.5,9.27,0.88,0.0403,-999.0,-0.09,0.8898,0.2624,-999.0,0.0021,-0.0172,0.038,112.92,0.0076,0.0,0.8848,-0.0319,0.0633,-0.1034,-0.0203,-999.0,-999.0,1.8,1.8,0.2316,-0.1583,0.0171,0.1277,0.4781,0.3355,2.4,0.1045,-0.0166,1.0085,-0.8001,2.9281,Feb 07/b,17.22,0.0,False,True,0
52,ACR,-999,Real Estate,REIT - Mortgage,USA,85190000.0,-999.0,4.56,-999.0,0.4,0.19,0.85,1.72,11.86,-999.0,-999.0,0.47,0.6795,0.1247,-999.0,0.05,0.3434,0.3152,3.1032,0.11,0.0391,0.3059,-0.0473,0.0024,0.0301,-0.0031,-999.0,-999.0,3.5,4.07,0.9632,-0.0288,0.0244,0.0349,0.3044,0.044,1.94,0.0448,-0.0176,0.5211,-0.9555,2.5333,Feb 28/a,10.07,724526.0,True,True,3
2822,NMM,-999,Industrials,Marine Shipping,Monaco,943120000.0,2.22,2.4,0.07,0.72,0.38,3.18,2.95,9.81,0.0064,0.0142,2.04,-0.0482,0.0979,-999.0,0.3308,0.5808,-0.1176,0.1199,0.3938,0.0,0.2298,0.1049,0.0143,0.17,0.0931,2.29,0.83,0.67,0.67,0.6576,0.3301,0.1015,0.0644,0.3773,0.1117,1.95,0.1069,-0.0234,0.6251,-0.9018,6.6591,Feb 13/b,31.25,0.0,False,True,4
1649,FUSB,-999,Financial,Banks - Regional,USA,61340000.0,7.85,-999.0,-999.0,1.09,0.66,-999.0,4.92,-999.0,0.0191,0.1504,-999.0,-999.0,-999.0,0.2887,-999.0,0.0626,0.2072,0.0286,0.131,0.0039,0.1568,-0.0112,0.0006,0.0966,0.0837,0.39,-999.0,0.12,0.23,-999.0,0.1511,0.0038,0.0631,0.2222,0.1728,1.02,0.0519,-0.0243,0.6354,-0.7022,2.4603,Oct 25/a,10.45,25690.0,False,True,6
3642,SITC,RUT,Real Estate,REIT - Retail,USA,2970000000.0,11.73,200.08,-999.0,5.42,1.58,5.22,20.14,2.72,0.0382,0.4298,0.05,-0.8758,-0.5284,0.2286,-0.0604,-0.039,-0.1011,6.7441,0.1044,0.0,0.8994,-0.009,0.0375,0.1245,0.0654,-999.0,-999.0,0.79,0.79,0.3094,0.4643,0.0238,0.048,0.086,0.0351,1.61,0.0387,-0.0247,0.3186,-0.8793,5.3265,Feb 13/b,14.18,0.0,False,True,3
1779,GOGL,RUT,Industrials,Marine Shipping,Bermuda,2200000000.0,17.95,10.03,-999.0,2.5,1.17,22.04,-999.0,0.5,0.0456,1.0237,0.26,-0.7345,1.1428,-999.0,-0.002,0.2104,-0.2141,-0.7232,0.4033,0.0,0.2611,-0.0503,0.0334,0.0646,0.0375,1.08,1.08,0.74,0.82,0.2235,0.1396,-0.0108,0.0485,0.4443,0.16,1.4,0.1042,-0.0248,0.5994,-0.9536,3.373,Feb 28/b,11.02,0.0,False,True,4
302,ARQ,-999,Industrials,Pollution & Treatment Controls,USA,117700000.0,-999.0,-999.0,-999.0,1.25,0.67,2.24,-999.0,1.58,-999.0,-999.0,-0.08,-0.3125,0.7302,-999.0,0.5,0.601,0.049,0.471,0.3063,0.0144,0.1702,-0.0276,0.0012,-0.118,-0.0933,4.15,3.31,0.16,0.18,0.1574,-0.1996,0.0631,0.2967,0.5193,0.1203,1.38,0.2253,-0.0248,2.0256,-0.8786,2.54,Nov 08/a,3.54,0.0,False,True,5
1285,EEX,RUT,Communication Services,Advertising Agencies,USA,422620000.0,-999.0,18.93,-999.0,1.13,-999.0,2.11,-999.0,3.18,-999.0,0.0,0.14,-0.8625,0.2909,-0.1646,0.05,0.1707,0.1619,-1.0,0.7691,0.0,0.1502,-0.1503,0.0185,0.0565,-0.0208,1.42,1.42,0.95,0.97,0.5017,-0.0464,0.0419,0.1181,0.2514,0.7731,1.4,0.1342,-0.0261,1.0613,-0.7264,3.48,Nov 06/b,6.72,0.0,False,True,4
2788,NGL,-999,Energy,Oil & Gas Midstream,USA,771210000.0,-999.0,8.95,-999.0,0.1,1.4,1042.17,2.45,0.01,-999.0,-999.0,0.29,2.0714,0.0833,0.1237,0.03,-0.0619,-0.126,-0.602,0.1554,0.0049,0.3323,-0.0441,0.0246,0.042,-0.0187,1.23,1.05,1.9,1.92,0.1032,-0.0107,-0.0017,0.1412,0.455,1.1011,1.64,0.0901,-0.0284,1.5526,-0.8742,4.82,Feb 08/a,5.82,581566.0,True,True,3
3758,SQNS,-999,Technology,Semiconductors,France,175740000.0,-999.0,-999.0,-999.0,3.93,19.89,26.07,-999.0,0.11,-999.0,-999.0,-999.0,-999.0,-999.0,0.3184,0.0035,0.1515,-0.5314,-999.0,0.0536,0.0,0.5868,0.0146,0.0008,-4.1829,-2.6772,0.42,0.33,0.21,6.74,0.6859,-0.6401,-0.0069,0.0194,0.0,-0.0269,0.47,0.0135,-0.0302,0.5538,-0.9629,0.7202,Nov 02/b,2.89,0.0,False,False,2
328,ASPN,RUT,Industrials,Building Products & Equipment,USA,1340000000.0,-999.0,25.58,-999.0,5.61,3.01,9.57,-999.0,1.83,-999.0,-999.0,-0.12,0.7046,4.5211,0.1458,-999.0,0.3077,0.4128,0.9621,0.0263,0.0315,0.9859,0.0058,0.0611,-0.0979,-0.0733,3.41,2.91,0.28,0.28,0.2389,-0.1919,0.4633,0.4346,0.6966,0.527,2.01,0.3217,-0.0309,2.2977,-0.7339,9.975,Feb 12/a,17.56,378338.0,True,False,5
4355,WT,RUT,Financial,Asset Management,USA,1100000000.0,14.48,13.35,7.17,3.23,2.26,6.51,25.58,1.12,0.0164,0.1,0.1,0.031,0.1186,0.068,0.0202,0.057,0.249,-0.866,0.008,0.204,0.762,-0.005,0.0818,0.225,0.113,2.8,2.8,0.58,0.58,-999.0,0.256,0.0325,0.0027,0.0912,0.1851,1.45,0.0599,-0.0325,0.3201,-0.7182,-999.0,Feb 02/b,7.3,2186768.0,True,True,6
2197,JMIA,-999,Consumer Cyclical,Internet Retail,Germany,477950000.0,-999.0,-999.0,-999.0,2.4,5.47,3.96,-999.0,1.2,-999.0,-999.0,-999.0,0.3163,0.2985,0.1653,-999.0,0.0541,-0.1064,0.6788,0.0035,0.0,0.1661,0.1156,0.0759,-0.8449,-1.4548,1.43,1.35,0.03,0.09,0.537,-0.5232,0.4571,0.5728,0.6904,0.1364,2.8,0.4155,-0.0346,1.1348,-0.932,1.2093,Feb 15/b,4.75,0.0,False,False,4
805,CGNT,-999,Technology,Software - Infrastructure,Israel,527070000.0,-999.0,-999.0,-999.0,1.74,2.8,7.15,20.33,1.05,-999.0,-999.0,-0.27,0.8105,-1.6809,-999.0,-999.0,-0.062,0.1142,1.1808,0.0734,0.0,0.6659,-0.047,0.0058,-0.1997,-0.2067,1.27,1.15,0.03,0.03,0.6395,-0.1322,0.0013,0.2803,0.7062,0.8725,1.66,0.1594,-0.0373,1.5369,-0.8029,2.2495,Dec 13/b,7.49,0.0,False,True,2
1176,DLNG,-999,Energy,Oil & Gas Midstream,Greece,115000000.0,3.11,2.6,3.11,0.73,0.37,1.77,-999.0,1.76,-999.0,0.0,0.3,1.0769,0.1111,0.3367,0.01,0.0094,0.6251,-0.8133,0.5221,0.0,0.2304,-0.0169,0.0001,0.0865,0.0425,1.92,1.92,0.98,0.98,0.453,0.2335,0.0347,0.1004,0.2207,0.0417,1.58,0.1037,-0.0385,0.3528,-0.8775,2.1888,Dec 07/a,3.12,0.0,False,True,6
750,CCLP,-999,Energy,Oil & Gas Equipment & Services,USA,281160000.0,-999.0,-999.0,-999.0,0.74,-999.0,18.14,-999.0,0.11,0.0202,-999.0,-999.0,-999.0,-999.0,0.3261,0.037,-0.0419,0.0507,0.7898,0.4832,0.0003,0.2718,0.0002,0.0009,-999.0,-0.0171,1.51,0.95,-999.0,-999.0,0.2396,-0.0271,0.0,0.1445,0.4143,0.4887,0.72,0.1011,-0.0388,0.9038,-0.9361,4.6815,Aug 07/b,1.98,24806.0,False,False,4
1119,DBRG,RUT,Real Estate,Real Estate Services,USA,3290000000.0,-999.0,-999.0,-999.0,2.26,3.67,6.1,-999.0,3.3,0.0023,-999.0,-0.11,0.9572,-0.1892,0.0064,-999.0,0.0876,0.6084,4.8122,0.0108,0.0,0.9438,0.0029,0.1092,0.0487,0.0006,-999.0,-999.0,1.91,1.91,0.3404,0.0019,-0.0025,0.1228,0.1898,0.3342,1.96,0.0986,-0.0414,1.014,-0.7821,2.782,Feb 20/b,20.12,0.0,False,False,2
3547,SB,RUT,Industrials,Marine Shipping,Monaco,477650000.0,7.0,5.69,0.5,1.68,0.62,5.31,-999.0,0.81,0.0532,0.3277,0.14,0.2355,0.1064,0.3064,0.14,0.1124,-0.0504,-0.1697,0.4337,0.0,0.2202,-0.0621,0.0296,0.0989,0.0544,2.63,2.07,0.61,0.64,0.4198,0.2438,0.0264,0.0542,0.2299,0.3333,1.0,0.0732,-0.0414,0.4411,-0.7833,13.4741,Feb 12/a,4.28,0.0,False,True,6
126,AIG,S&P 500,Financial,Insurance - Diversified,USA,47690000000.0,14.02,8.34,0.97,1.02,1.08,-999.0,7.64,-999.0,0.0223,0.2809,1.75,0.0956,0.1286,-999.0,0.1441,0.0056,-0.1939,-0.6526,0.0019,0.0,0.9255,-0.0331,0.0092,0.0854,0.074,1.78,-999.0,0.08,0.51,-999.0,0.0772,0.0133,0.0416,0.1033,0.1328,1.03,0.0298,-0.0442,0.5339,-0.9593,11.7937,Feb 13/a,70.04,0.0,False,True,2
2687,MTG,-999,Financial,Insurance - Specialty,USA,5360000000.0,7.77,7.66,2.51,4.64,1.11,-999.0,7.76,-999.0,0.0245,0.1729,0.59,-0.0442,0.043,0.0688,0.0309,0.0062,-0.0284,0.0342,0.0106,0.0,0.9399,0.0067,0.0286,0.1533,0.1297,0.79,-999.0,0.13,0.13,-999.0,0.6172,0.0131,0.0026,0.0824,0.3625,1.23,0.0044,-0.0464,0.5895,-0.7553,28.3439,Jan 31/a,19.32,0.0,False,True,4
1158,DHT,RUT,Energy,Oil & Gas Midstream,Bermuda,1880000000.0,11.61,5.08,2.32,3.37,1.81,25.09,15.22,0.46,0.1433,1.1559,0.31,0.6334,0.3985,-999.0,0.05,0.18,-0.1455,-0.4241,0.1677,0.0,0.5888,-0.0368,0.0317,0.154,0.1132,3.54,2.94,0.39,0.42,0.3706,0.2902,0.0434,0.0472,0.1162,0.0132,-0.34,0.0929,-0.0495,0.5795,-0.9484,2.526,Feb 06/a,11.53,0.0,False,True,4
2276,KOPN,-999,Technology,Electronic Components,USA,306730000.0,-999.0,-999.0,-999.0,6.97,8.61,14.13,-999.0,0.19,-999.0,-999.0,-0.03,0.254,0.5319,0.1015,0.2,0.1855,-0.0964,0.6626,0.0705,0.0,0.2942,-0.1531,0.0193,-0.5997,-0.5337,2.82,2.26,0.06,0.08,0.3945,-0.4413,0.0984,0.2947,0.6646,1.127,2.4,0.3403,-0.0496,1.8511,-0.9463,13.1053,Nov 09/a,2.68,0.0,False,False,4
3727,SPB,-999,Consumer Defensive,Household & Personal Products,USA,2530000000.0,1.83,17.2,0.1,0.87,1.12,1.82,-999.0,46.1,0.0202,0.0368,0.68,1.6233,0.2126,0.1707,0.182,-0.0384,-0.0296,2.1108,0.0278,0.0725,1.045,-0.0619,0.0857,-0.0997,0.4876,3.36,2.75,0.64,0.65,0.3354,0.6361,-0.0253,0.0706,0.0757,0.2703,1.2,0.0552,-0.0502,0.4764,-0.8887,10.0762,Feb 08/b,83.69,3223127.0,True,True,5
2493,MAX,RUT,Communication Services,Internet Content & Information,USA,757160000.0,-999.0,-999.0,-999.0,1.92,-999.0,49.81,90.03,0.32,-999.0,-999.0,-0.18,0.2851,0.2634,-999.0,-999.0,0.1556,-0.1623,0.1489,0.588,0.0,0.4112,0.0182,0.0676,-999.0,-0.4293,0.85,0.85,-999.0,-999.0,0.1462,-0.1646,0.1352,0.4721,0.6862,0.1218,1.2,0.3616,-0.0523,2.1732,-0.7708,2.1732,Feb 20/a,16.12,0.0,False,True,3
