No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
1,A,S&P 500,Healthcare,Diagnostics & Research,USA,43220000000.0,35.13,24.17,4.36,6.42,6.98,24.73,26.21,5.96,0.0064,0.2148,1.19,0.0112,0.1094,0.3393,0.0805,0.07,-0.0558,-0.0013,0.0042,-0.1117,0.9095,-0.0329,0.0094,0.2095,0.1395,2.68,2.04,0.43,0.44,0.5454,0.1835,-0.0026,0.1152,0.1027,0.1004,1.11,0.0926,-0.027,0.5236,-0.1787,19.8464,Feb 27/a,147.48
2,AA,-999,Basic Materials,Aluminum,USA,5470000000.0,-999,13.66,-999,0.51,1.28,5.08,-999,5.99,0.0115,-999,-0.44,1.0635,14.4553,-999,0.443,-0.0277,-0.0385,0.6023,0.0121,-0.0127,0.8449,-0.0563,0.0667,-0.1396,-0.1069,1.45,0.74,0.43,0.46,0.0225,-0.0608,0.0198,0.1362,0.1712,-0.2346,2.45,0.0604,-0.2913,0.3195,-0.6897,4.8992,Jan 17/a,30.44
3,AACI,-999,Financial,Shell Companies,USA,89170000.0,-999,-999,-999,-999,5.36,1783.45,-999,0.01,-999,-999,-999,-999,-999,-999,-999,0.0,-999,-2.5222,0.6871,0.0,0.2858,0.2034,0.0002,-0.0156,-0.0774,0.01,0.01,0.0,0.17,-999,-999,0.0064,0.0147,0.0395,0.1195,0.01,0.0163,-0.0,0.0984,-0.0943,0.2909,-999,11.05
4,AACT,-999,Financial,Shell Companies,USA,660310000.0,39.04,-999,-999,-999,1.31,345.71,-999,0.03,-999,0.0,-999,-999,-999,-999,-999,0.0,-999,-999,0.212,0.0,0.6895,-999,0.0001,-999,0.0333,8.65,8.65,0.01,0.01,-999,-999,0.0014,0.0062,0.0134,-999,-999,0.006,-0.0177,0.0466,-0.0177,0.0466,-999,10.56
5,AADI,RUT,Healthcare,Biotechnology,USA,53270000.0,-999,-999,-999,2.19,0.51,0.49,-999,4.43,-999,-999,-0.63,-0.0213,-0.1677,0.1187,-999,2.2526,0.2103,-0.1638,0.2918,-0.034,0.4124,0.1363,0.0546,-0.499,-0.6203,4.72,4.48,0.01,0.07,0.8898,-2.7004,0.014,0.1421,-0.5951,-0.7294,0.59,0.1604,-0.7551,0.4,-0.9786,0.4,Mar 13/b,2.17
6,AAL,S&P 500,Industrials,Airlines,USA,9140000000.0,12.83,4.18,0.26,0.17,-999,1.08,7.57,12.96,-999,0.0,-0.25,-0.0534,0.3305,-0.1773,0.487,0.1693,-0.0096,-0.9742,0.02,-0.0014,0.5238,0.0146,0.0589,-999,0.0269,0.62,0.51,-999,-999,0.2237,0.0156,-0.049,-0.0606,-0.0092,0.0072,1.58,-0.037,-0.2683,0.2855,-0.7637,0.6921,Jan 25/b,13.96
7,AAN,RUT,Industrials,Rental & Leasing Services,USA,211000000.0,88.99,10.89,-999,0.1,0.31,3.57,2.45,1.94,0.0719,5.5066,-0.07,-0.8924,6.3259,-0.4278,-999,0.0401,-0.1019,-1.1324,0.0431,0.081,0.925,-0.0744,0.0237,0.0041,0.0022,-999,-999,0.83,1.02,0.5182,0.0013,-0.0414,-0.3406,-0.3844,-0.3186,1.33,-0.2865,-0.5699,0.0342,-0.8146,0.0342,Feb 26/a,6.95
8,AAOI,-999,Technology,Communication Equipment,USA,487680000.0,-999,14.58,-999,2.24,2.25,8.85,-999,1.43,-999,-999,-0.29,0.7788,10.3746,-0.7426,0.13,-0.0251,-0.0184,0.4671,0.0712,-0.0189,0.6384,-0.0249,0.2566,-0.2806,-0.1895,1.85,1.16,0.38,0.56,0.2672,-0.2575,-0.1396,-0.3918,-0.4126,4.2049,2.06,-0.2695,-0.4869,6.9375,-0.8772,7.5811,Feb 22/a,12.7
9,AAON,RUT,Industrials,Building Products & Equipment,USA,6730000000.0,38.67,29.75,3.22,5.76,9.14,745.71,124.1,0.11,0.0039,0.1501,0.47,0.0417,0.2093,0.3182,0.12,0.2388,0.2044,0.1917,0.178,-0.0235,0.712,-0.002,0.0384,0.2741,0.2232,3.23,1.54,0.08,0.09,0.3297,0.152,0.0086,0.0091,0.2238,0.4005,0.91,0.0708,-0.0713,0.5783,-0.0713,3098.2149,Feb 28/a,82.45
10,AAP,-999,Consumer Cyclical,Specialty Retail,USA,4870000000.0,110.44,18.49,-999,0.43,1.93,9.67,108.31,8.45,0.0122,4.5108,0.76,6.6647,0.1539,-0.3863,-0.051,0.0337,-0.0036,-1.3299,0.0106,0.0024,1.0209,-0.0336,0.0986,0.017,0.0068,1.2,0.29,1.59,1.76,0.4036,0.0039,0.1189,0.2725,0.3442,-0.3285,1.16,0.2376,-0.3705,0.7132,-0.6656,5.6318,Feb 28/b,81.77
11,AAPL,"DJIA, NDX, S&P 500",Technology,Consumer Electronics,USA,2665580000000.0,26.86,24.15,2.44,6.91,36.02,36.46,24.94,4.73,0.0059,0.1532,1.51,0.0717,0.0879,0.1555,0.11,0.0834,0.0207,0.1581,0.0009,-0.0505,0.6175,-0.0048,0.0073,1.5427,0.5965,1.07,1.02,1.28,1.46,0.4503,0.2616,0.0111,-0.0626,-0.128,0.1283,1.29,-0.0594,-0.1353,0.1514,-0.1353,3514.1744,Feb 01/a,172.62
12,AAT,RUT,Real Estate,REIT - Diversified,USA,1290000000.0,25.28,25.82,-999,2.92,1.08,15.55,12.19,1.36,0.0691,1.5763,0.14,-0.131,0.1233,0.1484,-999,0.0614,0.0612,0.3785,0.2211,0.0,0.7708,-0.018,0.0231,0.0423,0.0178,-999,-999,1.36,1.44,0.3575,0.1142,0.0081,-0.0167,-0.0599,0.1249,1.27,-0.0461,-0.115,0.3197,-0.5702,0.3197,Feb 06/a,21.17
13,AB,-999,Financial,Asset Management,USA,3720000000.0,14.22,9.59,-999,-999,1.84,-999,12.66,0.0,0.0921,1.1201,0.72,0.1212,0.1512,-0.0129,-0.0388,0.0,-999,0.2073,0.0325,0.0,0.1798,0.0264,0.0102,0.1274,0.1273,-999,-999,0.0,0.0,-999,-999,-0.016,-0.008,0.0805,-0.051,1.26,0.0054,-0.1003,0.2888,-0.6494,12.8348,Feb 06/a,33.29
14,ABBV,S&P 500,Healthcare,Drug Manufacturers - General,USA,314220000000.0,65.39,14.57,19.95,5.78,30.32,24.52,14.27,7.26,0.035,2.2033,2.34,0.006,0.0925,-0.0577,0.0328,0.1176,-0.0542,-0.6709,0.0012,-0.1527,0.72,0.001,0.0081,0.349,0.0761,0.87,0.76,5.11,5.8,0.704,0.0887,-0.0054,0.0198,0.1528,0.1546,0.56,0.0385,-0.0274,0.3583,-0.0274,4.4715,Feb 02/b,177.88
15,ABCB,RUT,Financial,Banks - Regional,USA,3150000000.0,11.7,9.46,1.46,2.18,0.92,-999,6.88,-999,0.0134,0.1541,1.04,0.1104,0.0849,0.0683,0.08,0.2554,0.1537,-0.1936,0.0556,-0.002,0.928,0.0045,0.0212,0.0812,0.0654,0.12,-999,0.2,0.2,-999,0.1863,-0.0402,-0.0267,-0.09,0.2392,1.06,-0.063,-0.1556,0.6092,-0.2383,12.5862,Jan 25/a,45.59
16,ABCL,-999,Healthcare,Biotechnology,Canada,1380000000.0,-999,-999,-999,36.26,1.19,1.75,-999,2.69,-999,0.0,-0.12,0.0579,0.0248,-999,0.1,4.7763,-0.574,-0.5605,0.2992,0.0,0.3838,0.1115,0.1111,-0.1227,-0.1197,7.33,7.32,0.06,0.07,-999,-3.8499,-0.0126,-0.0977,-0.0655,-0.3661,0.38,-0.0933,-0.4149,0.2171,-0.9345,0.2171,Feb 20/a,4.71
17,ABEO,-999,Healthcare,Biotechnology,USA,213770000.0,-999,-999,-999,59.88,9.68,3.95,-999,2.18,-999,-999,-0.47,0.5967,0.2108,0.1964,-999,-0.5572,-999,0.6768,0.0585,0.0034,0.6672,0.2573,0.0704,-2.0679,-1.4847,6.81,6.81,0.18,0.26,0.023,-10.8529,0.0828,0.4033,0.8284,2.2939,1.48,0.4109,-0.0422,2.8527,-1.0,2.9406,Nov 13/b,8.63
18,ABG,RUT,Consumer Cyclical,Auto & Truck Dealerships,USA,4280000000.0,7.34,6.58,-999,0.29,1.32,82.54,161.05,2.54,-999,0.0,7.82,-0.036,0.016,0.2823,-0.027,0.1891,0.0283,-0.8306,0.007,-0.0872,1.0801,0.014,0.1005,0.196,0.0915,1.06,0.45,1.03,1.62,0.1816,0.0407,0.0014,-0.0498,-0.053,0.0537,1.17,-0.0015,-0.1809,0.1772,-0.1809,130.25,Feb 08/b,210.0
19,ABM,RUT,Industrials,Specialty Business Services,USA,2680000000.0,10.81,11.67,2.96,0.33,1.47,46.17,10.23,0.92,0.0216,0.2322,0.79,-0.0278,0.0652,0.2081,0.0365,0.0522,0.0393,0.2136,0.017,-0.0422,0.927,-0.0326,0.0433,0.1447,0.0801,1.48,1.48,0.76,0.8,0.121,0.0315,0.0093,0.0462,-0.191,-0.0438,1.14,0.0197,-0.2025,0.125,-0.2374,25.0369,Mar 07/b,42.31
20,ABNB,"NDX, S&P 500",Consumer Cyclical,Travel Services,USA,102500000000.0,22.21,32.45,0.93,10.34,12.55,10.15,26.39,15.82,-999,0.0,0.24,-0.4008,0.1409,-999,0.239,0.275,0.1661,-2.1523,0.3494,-0.0181,0.5074,-0.0117,0.0474,0.6983,0.4604,1.66,1.66,0.27,0.28,0.7087,0.4832,-0.0259,0.0839,0.1116,0.4143,1.25,0.0783,-0.0449,0.5513,-0.2696,0.9612,Feb 13/a,160.64
