No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
1,A,S&P 500,Healthcare,Diagnostics & Research,USA,42240000000.0,34.33,23.58,4.26,6.27,6.83,24.16,25.61,5.96,0.0065,0.2148,1.19,0.0111,0.111,0.3393,0.0805,0.07,-0.0558,-0.0013,0.0041,-0.1159,0.9095,-0.0329,0.0123,0.2095,0.1395,2.68,2.04,0.43,0.44,0.5454,0.1835,-0.0096,-0.0144,0.1002,0.0428,1.12,0.0356,-0.0492,0.4888,-0.1974,19.3715,Feb 27/a,144.12
2,AA,-999,Basic Materials,Aluminum,USA,6550000000.0,-999,18.42,-999,0.61,1.53,6.09,-999,5.99,0.0096,-999,-0.53,1.0031,283.3481,-999,0.443,-0.0277,-0.0385,0.6023,0.012,-0.0128,0.846,-0.0563,0.0743,-0.1396,-0.1069,1.45,0.74,0.43,0.46,0.0225,-0.0608,0.0799,0.2931,0.1722,-0.0954,2.47,0.2357,-0.1359,0.5817,-0.628,6.0717,Apr 17/a,36.49
3,AACI,-999,Financial,Shell Companies,USA,91110000.0,-999,-999,-999,-999,5.48,1822.21,-999,0.01,-999,-999,-999,-999,-999,-999,-999,0.0,-999,-2.5222,0.6871,0.0,0.2827,0.2018,0.0002,-0.0156,-0.0774,0.01,0.01,0.0,0.17,-999,-999,0.019,0.0217,0.0542,0.1416,-0.0,0.0298,-0.099,0.1189,-0.099,0.3189,-999,11.29
4,AACT,-999,Financial,Shell Companies,USA,660940000.0,39.08,-999,-999,-999,1.31,346.04,-999,0.03,-999,0.0,-999,-999,-999,-999,-999,0.0,-999,-999,0.212,0.0,0.6895,-999,0.0005,-999,0.0333,8.65,8.65,0.01,0.01,-999,-999,0.0005,0.0033,0.0129,-999,-999,0.004,-0.0167,0.0475,-0.0167,0.0475,-999,10.57
5,AADI,RUT,Healthcare,Biotechnology,USA,52290000.0,-999,-999,-999,2.15,0.5,0.48,-999,4.43,-999,-999,-0.62,-0.0107,-0.18,0.1187,-999,2.2526,0.2103,-0.1638,0.2918,-0.0337,0.4124,0.1361,0.0649,-0.499,-0.6203,4.72,4.48,0.01,0.07,0.8847,-2.7004,-0.0897,-0.0229,0.1576,-0.709,0.6,0.0646,-0.7538,0.3742,-0.979,0.3742,Mar 13/b,2.13
6,AAL,S&P 500,Industrials,Airlines,USA,9010000000.0,12.65,4.26,0.26,0.17,-999,1.06,7.46,12.96,-999,0.0,-0.27,-0.0768,0.3206,-0.1773,0.487,0.1693,-0.0096,-0.9742,0.02,-0.0014,0.524,0.0146,0.071,-999,0.0269,0.62,0.51,-999,-999,0.2237,0.0156,-0.1036,-0.0753,0.0512,-0.0282,1.58,-0.0669,-0.2788,0.267,-0.7671,0.6679,Jan 25/b,13.76
7,AAN,RUT,Industrials,Rental & Leasing Services,USA,226660000.0,92.19,11.28,-999,0.11,0.32,3.84,2.64,1.88,0.0694,5.5066,-0.07,-0.8924,6.3259,-0.4278,-999,0.0401,-0.1019,-1.1324,0.0421,0.0798,0.8921,-0.0719,0.0177,0.0041,0.0022,-999,-999,0.83,1.02,0.5182,0.0013,-0.04,0.0056,-0.3662,-0.2516,1.31,-0.1785,-0.5545,0.0714,-0.8079,0.0714,Feb 26/a,7.2
8,AAOI,-999,Technology,Communication Equipment,USA,480770000.0,-999,14.38,-999,2.21,2.22,8.73,-999,1.43,-999,-999,-0.29,0.7788,10.3746,-0.7426,0.13,-0.0251,-0.0184,0.4671,0.0736,-0.0006,0.6385,-0.0249,0.249,-0.2806,-0.1895,1.85,1.16,0.38,0.56,0.2672,-0.2575,-0.0967,-0.1597,-0.3243,4.6652,2.06,-0.2235,-0.4941,6.825,-0.8789,7.4595,Feb 22/a,12.52
9,AAON,RUT,Industrials,Building Products & Equipment,USA,7340000000.0,42.18,32.44,3.51,6.28,9.97,813.27,135.34,0.11,0.0036,0.1501,0.47,0.0417,0.2093,0.3182,0.12,0.2388,0.2044,0.1917,0.1766,-0.0287,0.7122,-0.002,0.0393,0.2741,0.2232,3.23,1.54,0.08,0.09,0.3297,0.152,0.0207,0.1101,0.2194,0.4363,0.91,0.1102,0.0128,0.7213,0.0128,3379.005,Feb 28/a,89.92
10,AAP,-999,Consumer Cyclical,Specialty Retail,USA,4610000000.0,104.46,17.4,-999,0.41,1.83,9.15,102.44,8.45,0.0129,4.5108,0.74,6.6722,0.1586,-0.3863,-999,0.0337,-0.0036,-1.3299,0.0113,0.015,1.0208,-0.0334,0.0881,0.017,0.0068,1.2,0.29,1.59,1.76,0.4036,0.0039,-0.0911,0.0757,0.2786,-0.3626,1.2,0.0709,-0.4046,0.6204,-0.6837,5.2725,Feb 28/b,77.34
