No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
3927,TGL,-999,Technology,Software - Application,USA,263110000.0,-999.0,-999.0,-999.0,4.91,71.36,213.91,-999.0,0.02,-999.0,-999.0,-7.0,0.4429,-999.0,-999.0,-999.0,18.6121,-0.6716,0.7277,0.3299,0.1081,0.1545,0.2843,0.0002,-2.127,-2.5315,1.94,1.84,0.01,0.02,0.0136,-0.1749,-0.2791,-0.3767,-0.7187,-0.9669,-0.74,-0.4106,-0.9774,0.0481,-0.9973,0.0481,Feb 14/a,3.8,285578.0,True,False,4
194,AMC,-999,Communication Services,Entertainment,USA,1310000000.0,-999.0,-999.0,-999.0,0.28,-999.0,1.75,-999.0,2.86,-999.0,-999.0,-0.85,0.1153,0.6195,0.2454,-999.0,0.2027,0.4518,1.3444,0.0025,0.0,0.2884,-0.1242,0.1119,-999.0,-0.0756,0.64,0.64,-999.0,-999.0,0.2314,-0.1069,0.0919,0.1686,-0.2662,-0.9257,1.71,0.0199,-0.9204,0.3919,-0.9873,0.3919,Feb 28/a,4.99,0.0,False,False,4
2501,MAXN,RUT,Technology,Solar,Singapore,222730000.0,-999.0,-999.0,-999.0,0.18,1.31,0.8,-999.0,5.25,-999.0,-999.0,-1.41,0.5769,0.0442,0.3074,-999.0,0.0748,-0.1736,-1.0276,0.4093,0.0,0.5309,0.0042,0.3066,-1.1212,-0.287,1.62,0.87,2.39,2.56,0.1089,-0.1356,-0.1208,-0.1822,-0.0186,-0.7551,1.53,-0.2144,-0.8915,0.0793,-0.9272,0.0793,Nov 15/a,4.22,0.0,False,False,2
2638,MOND,RUT,Consumer Cyclical,Travel Services,USA,189770000.0,-999.0,-999.0,-999.0,0.94,-999.0,3.96,-999.0,0.56,-999.0,-999.0,-0.12,-2.05,0.4016,-999.0,-999.0,0.3557,0.3817,0.6696,0.7366,0.0,0.1116,-0.4973,0.19,-0.9989,-0.3768,1.1,1.1,3.9,4.18,0.3902,-0.3468,0.0,-0.116,-0.2559,-0.8103,-0.15,-0.0789,-0.8449,0.151,-0.8698,0.151,Nov 14/b,2.21,0.0,False,False,3
3017,OPI,RUT,Real Estate,REIT - Office,USA,131630000.0,-999.0,-999.0,-999.0,0.25,0.1,4.93,-999.0,0.55,0.1444,-999.0,-0.17,0.0036,-0.4844,-0.5838,0.05,0.0728,0.0457,-6.9267,0.0213,0.0,0.6477,-0.0016,0.1029,-0.0527,-0.0212,-999.0,-999.0,1.62,2.06,0.4122,-0.1305,-0.1641,-0.2663,-0.4847,-0.8414,1.2,-0.422,-0.8431,0.0,-0.9761,0.0,Feb 15/a,2.7,0.0,False,True,2
4027,TSE,RUT,Basic Materials,Specialty Chemicals,USA,151270000.0,-999.0,-999.0,-999.0,0.04,-999.0,0.58,2.73,7.4,0.0093,-999.0,-2.1,0.2647,0.4168,-999.0,0.3029,0.0143,-0.1412,0.2787,0.0246,0.1281,0.8288,-0.059,0.0235,-9.2095,-0.3402,1.78,1.17,-999.0,-999.0,0.0393,-0.1908,-0.025,-0.3827,-0.3578,-0.8194,1.54,-0.3213,-0.8285,0.0166,-0.9497,0.0166,Feb 12/a,4.29,763480.0,True,True,5
659,BW,RUT,Industrials,Specialty Industrial Machinery,USA,109930000.0,-999.0,49.2,-999.0,0.1,-999.0,2.0,-999.0,0.61,-999.0,-999.0,-0.06,-0.0349,1.0562,0.6496,0.0699,-0.0059,0.1142,-4.5637,0.0393,0.0975,0.8175,0.0589,0.0388,-6.5727,-0.5094,1.38,1.09,-999.0,-999.0,0.2103,-0.1365,0.0696,-0.1338,-0.2454,-0.809,1.36,-0.0565,-0.8148,0.2878,-0.9949,0.5974,Nov 09/a,1.23,289493.0,True,True,5
3185,PIII,RUT,Healthcare,Medical Care Facilities,USA,121000000.0,-999.0,-999.0,-999.0,0.1,0.64,2.11,-999.0,0.5,-999.0,-999.0,-0.08,0.9067,0.5674,-999.0,-999.0,0.4723,0.1615,0.5562,0.5859,0.0163,0.1888,0.0014,0.05,-0.9498,-0.4079,0.67,0.67,0.65,0.65,-0.0387,-0.1073,0.0,-0.1322,-0.1176,-0.1322,1.06,-0.1172,-0.8112,0.4994,-0.9372,0.4994,Nov 08/a,1.05,2941488.0,True,False,4
1964,HSAI,-999,Consumer Cyclical,Auto Parts,China,357170000.0,-999.0,-999.0,-999.0,1.46,0.8,0.81,-999.0,4.6,-999.0,-999.0,-0.13,0.5153,0.7213,-999.0,-999.0,0.5499,0.2621,-0.8954,0.1793,0.0,0.1588,-999.0,0.0085,-0.1275,-0.1079,4.26,3.76,0.06,0.08,0.3296,-0.2724,-0.0361,-0.4418,-0.6482,-0.795,1.67,-0.4038,-0.809,0.1402,-0.8768,0.1402,Mar 11/a,3.74,0.0,False,False,4
1106,DADA,-999,Consumer Cyclical,Internet Retail,China,560700000.0,-999.0,10.04,-999.0,0.36,0.6,0.93,-999.0,2.3,-999.0,-999.0,0.04,0.9446,6.2877,0.0039,-999.0,0.4963,0.139,0.6589,0.027,0.0,0.212,-0.0664,0.0125,-0.1508,-0.1592,3.26,3.26,0.0,0.0,0.3895,-0.0961,-0.0317,0.0863,-0.4169,-0.7587,1.51,-0.0564,-0.8079,0.5793,-0.9651,0.5793,Nov 14/a,2.14,0.0,False,False,5
2627,MNY,-999,Communication Services,Internet Content & Information,Singapore,78620000.0,-999.0,-999.0,-999.0,3.88,-999.0,5.42,-999.0,0.38,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-3.4368,0.7682,0.0,0.1603,0.8708,0.0934,-0.0517,-999.0,0.44,0.04,-999.0,-999.0,0.4468,-0.6577,-0.2062,1.0816,-0.3665,-0.7966,1.37,0.333,-0.8044,1.7654,-0.9211,1.7654,Dec 06/b,2.04,0.0,False,False,2
2426,LPSN,RUT,Technology,Software - Application,USA,194020000.0,-999.0,-999.0,-999.0,0.45,4.18,0.91,-999.0,2.65,-999.0,-999.0,0.03,-0.8246,-1.2778,-0.5677,0.25,0.2004,-0.2179,-0.2291,0.2022,0.1241,0.6975,-0.0137,0.0776,-1.5103,-0.1818,1.15,1.15,11.4,13.06,0.5736,-0.2369,0.0042,-0.2233,-0.1579,-0.7968,1.63,-0.2108,-0.8005,0.0435,-0.9668,33.2857,Feb 28/a,2.4,6292761.0,True,False,3
