No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
726,AMRN,Healthcare,Drug Manufacturers - General,Ireland,551540000.0,-999,-999,-999,1.7,1.0,0.79,-0.0085,0.2237,0.1709,0.2826,-0.0729,5.32,-0.0921,1.74,0.02,-0.1623,0.4886,-0.3946,1.0737,-0.9991,1.9348,1.35,301076.0,True,True
730,PRCH,Technology,Software - Application,USA,239270000.0,-999,-999,-999,0.63,-999,3.95,-999,0.6985,0.113,0.4739,-0.1374,5.13,-4.283,1.01,-999,-0.4395,0.0628,-0.3935,3.8889,-0.912,3.8889,2.42,1874860.0,True,True
733,VOXX,Technology,Consumer Electronics,USA,202270000.0,-999,-999,-999,0.41,0.64,0.46,-1.0406,0.032,0.0028,0.4295,-0.0792,9.02,-0.114,0.84,0.16,-0.0787,-0.1326,-0.3932,0.2353,-0.8766,7.95,8.95,31672250.0,True,True
742,ULBI,Industrials,Electrical Equipment & Parts,USA,117810000.0,28.48,-999,1.63,0.78,0.97,0.57,-999,0.1219,0.0102,0.2893,-0.0228,2.59,0.0346,1.63,0.23,0.0273,0.011,-0.3916,0.8679,-0.7111,3.6818,7.21,542033.0,True,True
745,CMCT,Real Estate,REIT - Office,USA,80530000.0,-999,-999,-999,0.7,-999,1.9,-999,-0.1678,0.0,0.2794,-0.003,2.73,-0.1012,-999,1.26,-0.5914,-0.0564,-0.3908,0.0773,-0.8959,0.0773,3.53,0.0,False,True
748,AMPY,Energy,Oil & Gas E&P,USA,243980000.0,0.67,5.83,0.04,0.74,0.7,0.16,-999,0.2776,0.0226,0.4013,0.0224,2.47,2.3235,0.72,0.37,1.102,0.0379,-0.39,0.1418,-0.7504,11.6701,6.24,129249.0,True,True
754,AVNS,Healthcare,Medical Devices,USA,907710000.0,-999,13.8,-999,1.21,0.74,2.31,-0.0878,0.0593,0.0,0.949,-0.0042,3.0,0.0027,2.16,0.25,-0.0739,-0.0644,-0.3889,0.1343,-0.732,0.1343,19.55,0.0,False,True
757,HHS,Industrials,Conglomerates,USA,55880000.0,2.54,10.98,-999,0.28,2.72,1.98,-999,-0.0656,0.0261,0.3767,0.1782,1.4,2.7558,1.61,0.93,0.117,0.0852,-0.3879,0.548,-0.9754,6.0364,7.74,499095.0,True,True
760,HCSG,Healthcare,Medical Care Facilities,USA,723730000.0,22.85,14.16,2.54,0.43,1.64,1.64,-0.171,-0.0406,0.0,1.0218,-0.0605,3.96,0.074,2.74,0.13,0.0191,-0.0217,-0.3863,0.12,-0.8256,33.6432,9.8,0.0,False,True
763,BABA,Consumer Cyclical,Internet Retail,China,176220000000.0,10.19,8.07,0.91,1.36,1.33,34.96,0.0129,0.2891,0.0,0.148,-0.105,1.99,0.136,1.94,0.16,0.1445,-0.0123,-0.3853,0.1043,-0.7696,0.2864,73.58,0.0,False,True
770,TASK,Technology,Information Technology Services,USA,1210000000.0,29.68,10.33,3.37,1.3,2.86,1.28,-999,0.3943,0.0,0.1838,0.015,3.92,0.1046,2.93,0.73,0.0484,0.0785,-0.3836,0.7067,-0.8414,0.7067,13.56,0.0,False,True
771,JMIA,Consumer Cyclical,Internet Retail,Germany,315950000.0,-999,-999,-999,1.53,3.62,0.54,-0.0049,0.1076,0.0,0.167,0.1156,5.27,-0.8955,1.51,0.08,-0.6855,-0.062,-0.3831,0.4112,-0.9551,0.4605,3.14,0.0,False,False
781,MHH,Industrials,Staffing & Employment Services,USA,99880000.0,-999,10.19,-999,0.47,1.16,1.37,0.3432,0.0826,0.0,0.1683,0.0062,0.91,-0.0029,2.85,0.05,-0.0012,0.0251,-0.3811,0.148,-0.7128,28.8273,8.61,0.0,False,True
786,NEWT,Financial,Banks - Regional,USA,319440000.0,12.79,7.03,4.26,1.81,1.54,6.21,-0.099,0.128,0.0118,0.159,-0.1081,12.55,0.103,-999,5.22,0.143,-0.0454,-0.3778,0.2056,-0.7513,313.0132,12.96,232323.0,True,True
787,SNDA,Healthcare,Medical Care Facilities,USA,73620000.0,-999,-999,-999,0.3,-999,2.68,0.1513,-0.1356,0.0017,0.7425,0.0082,2.96,-999,-999,-999,-0.1248,-0.0487,-0.3774,0.5,-0.9785,0.5,9.0,25451.0,False,True
788,UFI,Consumer Cyclical,Textile Manufacturing,USA,118870000.0,-999,10.09,-999,0.2,0.39,2.84,-999,-0.0027,0.1078,0.5644,-0.085,2.54,-0.1585,2.02,0.49,-0.0888,0.0173,-0.3773,0.1214,-0.9499,3.9697,6.56,2095403.0,True,True
791,CVEO,Industrials,Specialty Business Services,USA,338950000.0,-999,52.63,-999,0.49,1.17,0.53,0.536,0.1073,0.0,0.8056,0.0167,0.36,-0.0271,1.47,0.39,-0.0127,0.0183,-0.3769,0.286,-0.9326,4.629,22.98,0.0,False,True
794,AES,Utilities,Utilities - Diversified,USA,11570000000.0,-999,9.07,-999,0.91,5.96,3.98,0.0038,0.0456,0.0255,0.9444,0.0033,3.08,-0.1271,0.74,6.52,-0.0439,-0.0424,-0.3764,0.5118,-0.7627,17.7826,17.28,1418574.0,True,True
795,HCM,Healthcare,Drug Manufacturers - Specialty & Generic,Hong Kong,2250000000.0,-999,-999,-999,2.94,2.86,4.91,-0.5819,0.2073,0.0,0.1149,-0.1901,3.96,-0.0465,3.04,0.05,-0.048,-0.2528,-0.3763,0.2107,-0.7057,0.7497,12.93,0.0,False,False
796,MPAA,Consumer Cyclical,Auto Parts,USA,194140000.0,-999,7.98,-999,0.28,0.6,0.63,-999,0.0996,0.197,0.7924,0.0097,9.05,-0.0028,0.52,0.78,-0.0013,0.0588,-0.3762,1.3239,-0.7587,23.3692,9.9,1073777.0,True,True
800,CSTE,Industrials,Building Products & Equipment,Israel,141190000.0,-999,-999,-999,0.24,0.39,2.29,-999,0.0589,0.0,0.351,-0.0495,2.37,-0.3068,1.47,0.34,-0.2199,0.0144,-0.3752,0.1685,-0.9419,0.1685,4.09,0.0,False,True
802,BGS,Consumer Defensive,Packaged Foods,USA,820010000.0,-999,12.33,-999,0.39,0.98,4.58,-999,0.0646,0.0,0.6446,-0.0314,5.23,-0.0529,0.76,3.04,-0.0211,0.0311,-0.3747,0.4486,-0.7866,3.4403,10.43,0.0,False,True
804,BYRN,Industrials,Aerospace & Defense,USA,142870000.0,-999,-999,-999,3.32,3.38,0.62,-999,5.4107,0.0061,0.2396,-0.04,7.79,-0.1676,3.11,0.05,-0.1743,0.0944,-0.3738,1.968,-0.8375,15.0324,6.5,93617.0,False,False
815,DLTH,Consumer Cyclical,Apparel Retail,USA,171020000.0,-999,-999,-999,0.27,0.79,0.24,-0.3729,0.071,0.0,0.2282,-0.0039,9.79,-0.0405,0.18,1.04,-0.0138,-0.0418,-0.3706,0.0667,-0.8701,0.762,4.96,0.0,False,True
818,HRTG,Financial,Insurance - Property & Casualty,USA,185830000.0,5.85,4.69,-999,0.26,1.09,-999,-1.6874,0.0847,0.0091,0.3328,-0.1262,0.89,0.1997,-999,1.0,0.0372,-0.1389,-0.3687,2.2872,-0.7735,4.5179,6.18,499986.0,True,True
841,QIPT,Healthcare,Medical Devices,USA,195340000.0,-999,48.0,-999,0.88,1.76,0.41,0.0876,0.3325,0.0,0.4744,-999,2.93,-0.0292,0.78,0.89,-0.0126,-0.0338,-0.3609,0.0766,-0.8585,3.64,4.64,0.0,False,True
849,SSYS,Technology,Computer Hardware,USA,962430000.0,-999,52.41,-999,1.53,1.09,2.67,0.1041,0.0026,0.0,0.6044,-0.198,2.69,-0.1207,1.93,0.02,-0.1753,0.1017,-0.3591,0.399,-0.8992,21.272,13.92,0.0,False,False
853,CMCL,Basic Materials,Gold,United Kingdom,216460000.0,-999,11.32,-999,1.61,0.89,0.56,0.1004,0.203,0.0,0.2924,-0.0095,4.82,-0.0427,1.0,0.09,-0.0674,-0.0563,-0.3584,0.1899,-0.9757,10.7058,11.28,0.0,False,True
855,WBD,Communication Services,Entertainment,USA,25580000000.0,-999,-999,-999,0.61,0.57,1.01,-0.3819,0.483,0.0002,0.6146,-0.0,3.79,-0.1035,0.88,1.0,-0.1148,-0.0502,-0.358,0.1316,-0.8658,1.0494,10.49,535420.0,True,True
860,RRGB,Consumer Cyclical,Restaurants,USA,164240000.0,-999,-999,-999,0.13,-999,3.93,-999,0.0177,0.4867,0.7538,-0.1342,14.34,-2.4035,0.42,-999,-0.0401,-0.0081,-0.357,0.5277,-0.8883,1.6262,10.61,2996123.0,True,False
866,LFMD,Healthcare,Health Information Services,USA,230100000.0,-999,-999,-999,1.69,-999,0.39,-0.6117,1.0652,0.0151,0.2457,-0.0227,2.8,-7.1995,0.65,-999,-0.2349,-0.1817,-0.3557,4.1491,-0.8222,38.1333,5.87,501018.0,True,False
867,OI,Consumer Cyclical,Packaging & Containers,USA,2350000000.0,6.36,6.15,1.63,0.33,1.18,5.12,0.2743,0.0014,0.0,0.9635,0.0014,3.41,0.2286,0.87,2.47,0.0531,-0.0171,-0.3555,0.1202,-0.7493,5.076,15.19,0.0,False,True
870,YTRA,Consumer Cyclical,Travel Services,India,109870000.0,-999,23.79,-999,2.18,1.59,0.99,0.4988,-0.0041,0.0,0.4629,0.0183,1.01,-0.1543,1.96,0.34,-0.1213,0.0606,-0.3553,0.2286,-0.8661,2.1693,1.72,0.0,False,False
877,EFXT,Energy,Oil & Gas Equipment & Services,Canada,669220000.0,-999,-999,-999,0.29,0.58,1.04,-999,0.0972,0.0,0.5502,-999,7.29,-0.0437,0.93,0.98,-0.0209,0.1886,-0.3541,0.3706,-0.7197,0.8,5.4,0.0,False,True
880,OFIX,Healthcare,Medical Devices,USA,537430000.0,-999,-999,-999,0.8,0.87,0.92,-999,0.0084,0.0052,0.9615,-0.0057,3.48,-0.2872,1.13,0.18,-0.2039,0.1648,-0.3537,0.5269,-0.8036,1.5991,14.62,101025.0,True,True
888,CDE,Basic Materials,Gold,USA,1130000000.0,-999,27.53,-999,1.49,1.08,0.16,-1.0851,0.0537,0.0006,0.7121,0.0173,3.69,-0.031,0.41,0.5,-0.0382,-0.0026,-0.3516,0.475,-0.9918,0.821,2.95,5156.0,False,True
903,MCHX,Communication Services,Advertising Agencies,USA,62380000.0,-999,-999,-999,1.25,1.65,0.32,-0.0482,-0.1003,0.0034,0.6022,-0.0159,4.97,-0.2864,2.44,0.07,-0.2478,0.0267,-0.3484,0.1803,-0.9361,0.3091,1.44,37714.0,False,False
904,PDM,Real Estate,REIT - Office,USA,916690000.0,16.59,-999,4.15,1.56,0.52,0.09,0.0529,-0.0146,0.0,0.8636,0.0095,2.45,0.031,-999,1.19,0.0942,0.0806,-0.3483,0.5092,-0.701,0.5092,7.41,0.0,False,True
911,NYMT,Real Estate,REIT - Mortgage,USA,768060000.0,-999,16.72,-999,1.85,0.74,3.92,-999,0.2968,0.0,0.5469,-0.1093,2.94,-0.0734,-999,2.82,-0.408,-0.0165,-0.3465,0.1715,-0.9793,1.3565,8.47,0.0,False,True
923,AEYE,Technology,Software - Application,USA,61710000.0,-999,47.18,-999,1.98,7.94,0.28,0.504,0.5553,0.0232,0.1485,-0.0273,2.1,-0.7528,0.75,0.11,-0.2329,0.139,-0.3422,0.3833,-0.9308,6.6889,5.19,508376.0,True,False
926,CIM,Real Estate,REIT - Mortgage,USA,1170000000.0,10.11,6.94,-999,1.73,0.75,0.61,-999,-0.1021,0.0,0.4828,-0.0004,1.38,0.0749,-999,4.12,0.177,0.0167,-0.3419,0.1551,-0.9396,0.1551,5.14,0.0,False,True
927,FANH,Financial,Insurance Brokers,China,337300000.0,6.37,9.47,0.83,0.71,1.15,3.97,-0.2442,-0.0486,0.0,0.1072,-0.0659,9.21,0.2067,-999,0.14,0.1116,-0.0444,-0.3417,0.21,-0.8356,0.4571,6.28,0.0,False,True
929,PSFE,Technology,Software - Infrastructure,United Kingdom,980320000.0,-999,6.08,-999,0.62,1.12,3.7,-999,0.0243,0.0,0.2342,-0.0091,2.23,-0.0511,1.12,2.9,-0.0266,0.2987,-0.3402,0.7297,-0.9319,0.7297,16.0,0.0,False,False
931,ATHM,Communication Services,Internet Content & Information,China,3080000000.0,10.76,11.43,3.31,3.04,0.91,26.03,-0.0174,-0.0107,0.0,0.5055,-0.0392,3.46,0.0855,6.31,0.0,0.2828,-0.0619,-0.3398,0.0352,-0.8306,0.3089,25.02,0.0,False,True
932,CLPT,Healthcare,Medical Devices,USA,178000000.0,-999,-999,-999,7.98,7.39,0.99,0.0608,0.3001,0.0,0.2504,0.0619,12.63,-0.6833,5.07,0.58,-0.9792,0.1171,-0.3397,0.7852,-0.9638,4.4361,7.23,0.0,False,False
938,UA,Consumer Cyclical,Apparel Manufacturing,USA,3320000000.0,8.4,12.44,0.39,0.57,1.59,1.54,-999,0.0412,0.0,0.2714,-999,2.96,0.2101,1.35,0.7,0.0703,-0.0298,-0.3368,0.2918,-0.8362,0.3188,7.57,0.0,False,True
946,SIRI,Communication Services,Entertainment,USA,20270000000.0,16.2,17.09,2.41,2.27,-999,0.01,0.1685,0.1248,0.0001,0.108,-0.0506,13.48,-999,0.33,-999,0.142,0.0183,-0.3358,0.5904,-0.9196,106.3159,5.28,1026900.0,True,True
949,BLFS,Healthcare,Medical Instruments & Supplies,USA,805490000.0,-999,-999,-999,5.2,2.36,0.91,-0.7411,0.7447,0.9739,0.9895,0.052,7.55,-0.2762,1.72,0.13,-0.6604,0.1898,-0.3351,1.0045,-0.9871,126.7143,17.88,10101225.0,True,True
952,RBBN,Communication Services,Telecom Services,USA,552970000.0,-999,9.64,-999,0.66,1.24,0.14,-0.0086,0.1111,0.0002,0.719,0.1741,8.73,-0.1132,0.98,0.79,-0.0633,0.2476,-0.3347,0.809,-0.9931,2.5778,3.22,12098.0,False,True
955,TCX,Technology,Software - Infrastructure,Canada,267380000.0,-999,-999,-999,0.81,8.88,10.45,-999,-0.0174,0.0007,0.5999,0.0265,26.37,-1.2724,1.37,19.07,-0.2604,0.0557,-0.3332,0.5674,-0.7396,60.325,24.53,-420.0,False,True
971,LFVN,Consumer Defensive,Packaged Foods,USA,74100000.0,29.24,8.97,2.44,0.35,2.53,1.45,-0.1319,0.0119,0.0214,0.2972,0.0984,2.03,0.0836,1.06,0.48,0.012,-0.027,-0.3291,1.0264,-0.9565,11.9418,5.83,276952.0,True,True
972,ELVA,Industrials,Electrical Equipment & Parts,Canada,124830000.0,-999,11.9,-999,2.83,17.47,0.03,0.4799,0.7496,0.0,0.1094,-999,1.89,-5.8647,0.66,2.66,-0.0817,0.1745,-0.3291,0.5769,-0.8005,9.5429,3.69,0.0,False,True
976,BOOM,Energy,Oil & Gas Equipment & Services,USA,371690000.0,11.8,9.18,0.59,0.52,0.92,1.8,-999,0.361,0.001,0.8185,-0.0676,3.45,0.0805,1.1,0.41,0.0429,0.0948,-0.3285,0.2633,-0.7547,59.192,18.81,-9810.0,False,True
977,AYX,Technology,Software - Application,USA,3430000000.0,-999,40.6,-999,3.73,50.78,8.79,-0.6612,0.3778,0.0,0.8304,-0.0157,1.52,-2.6053,1.33,19.19,-0.3159,0.0673,-0.3283,0.6991,-0.7446,2.2471,47.44,0.0,False,True
987,INFN,Technology,Communication Equipment,USA,1190000000.0,-999,15.8,-999,0.72,7.11,0.73,0.2326,0.1439,0.0033,0.9944,0.0669,16.14,-0.0504,1.0,4.45,-0.0043,0.1486,-0.3269,0.8617,-0.825,0.875,5.25,41350.0,False,False
995,MUX,Basic Materials,Other Precious Metals & Mining,Canada,320080000.0,-999,-999,-999,2.36,0.91,1.89,-0.3822,-0.02,0.0,0.2029,-0.0204,2.72,-0.3395,1.84,0.12,-0.8875,-0.0648,-0.326,0.2505,-0.9805,5.4136,6.74,0.0,False,False
997,BITF,Financial,Capital Markets,Canada,579620000.0,-999,-999,-999,4.56,2.32,0.27,-999,0.9385,0.0,0.2987,-999,1.09,-0.2286,2.8,0.09,-0.4948,0.0702,-0.3258,2.5294,-0.76,10.2412,2.4,0.0,False,True
998,LSAK,Technology,Software - Infrastructure,South Africa,205770000.0,-999,48.42,-999,0.38,1.2,0.88,-999,0.2239,0.0163,0.2472,0.0107,3.83,-0.1062,1.33,0.66,-0.0531,-0.0629,-0.3254,0.0996,-0.9486,0.2217,3.3,1064171.0,True,False
1003,EHTH,Financial,Insurance Brokers,USA,202630000.0,-999,-999,-999,0.5,0.36,5.66,-999,0.2104,0.0033,0.6636,-0.1331,1.39,-0.0688,-999,0.12,-0.2382,-0.0855,-0.324,0.4854,-0.9531,1.676,7.14,105705.0,True,True
1008,VET,Energy,Oil & Gas E&P,Canada,1770000000.0,2.53,4.65,0.12,1.07,0.62,0.0,0.7278,0.2962,0.0,0.3372,-999,2.2,0.2869,0.86,0.26,0.4286,-0.096,-0.3223,0.0393,-0.851,6.22,10.83,0.0,False,True
1012,APA,Energy,Oil & Gas E&P,USA,9660000000.0,6.54,6.34,-999,1.13,9.07,0.31,0.2651,0.1885,0.0,0.8235,-0.0357,3.22,1.8176,0.89,5.28,0.1777,-0.0815,-0.3216,0.0641,-0.7864,11.2812,31.87,0.0,False,True
1026,MMLP,Energy,Oil & Gas Midstream,USA,87940000.0,-999,28.25,-999,0.1,-999,0.0,-999,0.0228,0.0393,0.3521,0.0113,2.77,-999,0.87,-999,-0.0062,-0.0778,-0.3172,0.159,-0.9538,1.4972,2.26,1023896.0,True,True
1032,BTE,Energy,Oil & Gas E&P,Canada,2700000000.0,3.46,5.21,0.19,1.51,0.77,0.02,0.3272,0.3305,0.0,0.2674,-999,1.79,0.2014,0.77,0.56,0.3095,-0.062,-0.3155,0.1038,-0.9485,15.7895,3.19,0.0,False,True
1035,OB,Communication Services,Internet Content & Information,USA,204650000.0,-999,51.6,-999,0.22,0.95,3.36,-999,0.1389,0.0,0.3524,0.0421,2.37,-0.0071,1.45,0.6,-0.0017,0.0049,-0.3143,0.2234,-0.8056,0.2252,4.08,0.0,False,True
1040,DNOW,Industrials,Specialty Industrial Machinery,USA,1080000000.0,8.66,10.33,-999,0.47,1.2,1.82,-999,-0.0477,0.0,0.9627,-0.0001,1.75,0.1511,1.46,0.04,0.0558,-0.0297,-0.3136,0.1552,-0.7291,1.531,10.2,0.0,False,True
1047,ORC,Real Estate,REIT - Mortgage,USA,455790000.0,-999,-999,-999,2.87,0.98,7.2,-999,-0.1867,0.3524,0.2928,0.2352,2.41,-0.0725,-999,9.48,-0.1978,0.0734,-0.312,0.4763,-0.8675,0.4763,8.71,346751.0,True,True
1048,CYD,Consumer Cyclical,Auto Parts,Singapore,351400000.0,8.06,-999,0.81,0.15,0.28,18.92,-0.2444,0.0081,0.0,0.1652,-0.022,0.33,0.0336,1.83,0.33,0.0182,-0.0108,-0.312,0.2428,-0.7289,54.2232,8.6,0.0,False,True
1049,SVC,Real Estate,REIT - Hotel & Motel,USA,1320000000.0,-999,-999,-999,0.7,1.01,2.63,-999,-0.0041,0.0,0.7677,0.0005,9.27,-0.0152,-999,4.39,-0.0111,0.0069,-0.3117,0.1646,-0.8312,1.2859,7.96,0.0,False,True
1056,INNV,Healthcare,Medical Care Facilities,USA,763650000.0,-999,158.53,-999,1.09,2.66,1.0,-999,0.1057,0.0,0.1219,-0.1718,13.83,-0.1247,1.41,0.37,-0.0542,-0.0233,-0.3104,0.1151,-0.7932,0.6578,5.62,0.0,False,True
1063,CMLS,Communication Services,Broadcasting,USA,89140000.0,-999,-999,-999,0.1,0.21,4.45,-999,-0.0318,0.0,0.4084,-0.1941,2.35,-0.0501,2.15,2.67,-0.0227,-0.0512,-0.3098,0.8638,-0.8158,0.8638,4.79,0.0,False,True
1078,BEKE,Real Estate,Real Estate Services,China,17370000000.0,21.93,12.81,0.38,1.65,1.84,6.88,-0.1842,0.2543,0.0,0.3899,0.0647,3.78,0.0818,1.82,0.23,0.0759,-0.0502,-0.3071,0.1219,-0.8161,0.998,14.45,0.0,False,True
1081,SIGA,Healthcare,Drug Manufacturers - Specialty & Generic,USA,358290000.0,-999,4.54,-999,10.3,2.89,1.0,-999,0.6568,0.0,0.4962,0.0865,13.13,-0.0336,2.64,0.01,-0.1437,-0.0749,-0.3066,0.1957,-0.7979,28.0279,5.04,0.0,False,True
1084,SPR,Industrials,Aerospace & Defense,USA,3100000000.0,-999,65.63,-999,0.56,-999,3.23,-999,-0.0112,0.0,0.7812,0.0381,2.61,-5.4353,0.69,-999,-0.1683,-0.0536,-0.3058,0.8266,-0.7456,2.7479,26.76,0.0,False,True
1093,ASPN,Industrials,Building Products & Equipment,USA,920420000.0,-999,-999,-999,4.3,2.07,1.24,-0.2042,0.1877,0.045,0.8837,0.0058,5.38,-0.1854,2.71,0.33,-0.2564,-0.0534,-0.3035,1.2648,-0.8172,6.5375,12.06,549036.0,True,False
1097,PRA,Financial,Insurance - Property & Casualty,USA,713070000.0,-999,28.93,-999,0.63,0.7,-999,-999,0.0685,0.0,0.854,-0.0635,2.89,-0.0299,-999,0.44,-0.0273,0.0589,-0.3026,0.1786,-0.7583,7.0166,13.99,0.0,False,True
1099,GGB,Basic Materials,Steel,Brazil,4940000000.0,4.72,7.53,-999,0.35,0.74,1.04,-999,0.1124,0.0,0.2504,-0.0227,1.39,0.1669,1.43,0.25,0.1126,-0.0698,-0.3019,0.0361,-0.7999,14.3501,4.3,0.0,False,True
1103,HGBL,Financial,Capital Markets,USA,105880000.0,6.05,8.81,-999,1.79,1.87,0.42,-999,0.2276,0.0082,0.3623,-0.1037,0.56,0.3709,1.47,0.21,0.2971,0.0238,-0.3015,0.2667,-0.9929,-999,2.85,155565.0,True,True
1112,FARM,Consumer Defensive,Packaged Foods,USA,78430000.0,-999,-999,-999,0.18,2.06,0.2,-0.2945,-0.1023,0.0251,0.4468,0.0142,2.49,-0.6415,0.66,1.27,-0.1723,0.23,-0.2987,1.16,-0.904,1.16,3.78,257766.0,True,False
1125,NL,Industrials,Security & Protection Services,USA,257820000.0,-999,-999,-999,1.63,0.71,3.05,-0.2188,0.0963,0.0,0.1068,0.0485,3.11,-0.0439,5.72,0.0,-0.1009,-0.0006,-0.296,0.1839,-0.7791,2.7627,5.28,0.0,False,True
1134,LMND,Financial,Insurance - Property & Casualty,USA,1220000000.0,-999,-999,-999,3.67,1.68,-999,-0.5599,0.8822,0.0,0.3633,0.0684,8.16,-0.3161,-999,0.05,-0.774,0.0224,-0.2946,0.7048,-0.9071,0.7048,17.5,0.0,False,False
1135,CGAU,Basic Materials,Gold,Canada,1170000000.0,-999,11.11,-999,1.23,0.68,2.29,-999,0.001,0.0,0.8782,-999,1.14,-0.0994,2.56,0.0,-0.1908,-0.046,-0.2944,0.2062,-0.7667,-999,5.44,0.0,False,True
1136,PAHC,Healthcare,Drug Manufacturers - Specialty & Generic,USA,472230000.0,22.77,9.64,6.15,0.48,1.73,2.25,-0.1291,0.0372,0.0,0.5042,-0.018,4.3,0.0774,1.77,1.9,0.0212,0.0548,-0.2942,0.2404,-0.7865,0.2404,11.66,0.0,False,True
1140,YY,Communication Services,Internet Content & Information,Singapore,1360000000.0,-999,8.33,-999,0.59,0.37,85.96,-0.2382,0.1974,0.0,0.7193,-0.0869,4.06,-0.0229,1.37,0.1,-0.034,-0.1668,-0.2931,0.2662,-0.7949,1.9154,30.54,-469781.0,False,True
1141,CVGW,Consumer Defensive,Food Distribution,USA,489290000.0,-999,13.5,-999,0.5,2.25,0.12,-999,0.0272,0.0011,0.8037,-0.0115,5.01,-0.017,0.94,0.47,-0.0039,0.0248,-0.293,0.2761,-0.7449,3.5917,27.55,33776.0,False,True
1144,RSKD,Technology,Software - Application,Israel,760510000.0,-999,-999,-999,2.6,1.74,2.82,-999,0.2634,0.0,0.3718,-0.0206,1.6,-0.1381,7.56,0.06,-0.2308,0.0989,-0.2927,0.3678,-0.8824,0.3878,4.76,0.0,False,False
1150,FUTU,Financial,Capital Markets,Hong Kong,4400000000.0,12.03,10.47,7.66,3.47,2.22,11.28,-999,0.9165,0.0,0.2732,0.0037,2.62,0.1998,-999,0.22,0.4399,-0.0945,-0.2922,0.3303,-0.7661,4.8542,47.77,0.0,False,True
1163,HAFC,Financial,Banks - Regional,USA,525440000.0,6.6,7.34,0.82,1.32,0.75,-999,0.0787,0.0981,0.0021,0.8896,-0.0156,2.83,0.119,-999,0.65,0.2003,-0.0496,-0.2882,0.2951,-0.9068,1.8817,17.29,14230.0,False,True
1168,SCWX,Technology,Software - Infrastructure,USA,619200000.0,-999,410.29,-999,1.58,1.23,0.67,-0.599,0.0018,0.0002,0.1029,-0.005,2.83,-0.2174,0.64,0.02,-0.3004,0.1117,-0.2863,0.3296,-0.733,0.3598,7.18,87260.0,False,False
1173,CIA,Financial,Insurance - Life,USA,141710000.0,8.45,-999,-999,0.59,0.93,-999,0.2966,-0.0112,0.0032,0.1275,-0.0639,65.67,0.2465,-999,0.0,0.0708,-0.0503,-0.285,0.7439,-0.7603,22.1507,2.86,43562.0,False,True
1175,PPIH,Industrials,Building Products & Equipment,USA,66250000.0,13.25,-999,-999,0.45,1.15,0.92,-999,0.1087,0.0091,0.312,0.0118,0.96,0.0907,1.37,0.65,0.0345,0.0828,-0.2846,0.3323,-0.7398,5.85,8.22,33020.0,False,True
1179,TAC,Utilities,Utilities - Independent Power Producers,Canada,2310000000.0,4.68,20.36,0.38,0.87,2.8,3.09,-999,0.0907,0.0,0.596,0.0117,6.89,0.3642,1.43,2.27,0.1583,-0.0679,-0.2827,0.0332,-0.8029,1.937,7.46,0.0,False,True
1187,GCI,Communication Services,Publishing,USA,385600000.0,19.06,149.02,-999,0.14,1.18,0.74,-1.0116,0.2268,0.0153,0.6403,0.0045,16.57,0.0871,0.77,4.05,0.0102,0.1691,-0.2806,0.5988,-0.8995,3.1111,2.59,753800.0,True,True
1228,ASAN,Technology,Software - Application,USA,4260000000.0,-999,-999,-999,6.75,12.82,2.38,-0.5876,0.6406,0.05,0.2428,0.0614,4.42,-0.7967,1.82,0.85,-0.4586,-0.0229,-0.271,0.3392,-0.8686,0.6917,19.15,127731923.0,True,False
1229,RES,Energy,Oil & Gas Equipment & Services,USA,1600000000.0,8.24,6.83,-999,0.99,1.61,1.03,0.0201,0.1014,0.0,0.4057,0.0005,7.52,0.2049,4.06,0.03,0.1191,0.0411,-0.2704,0.1703,-0.7246,83.2993,7.42,0.0,False,True
1230,YMM,Technology,Software - Application,China,6230000000.0,26.83,15.23,0.75,5.54,1.29,2.86,-999,0.4536,0.0,0.3717,0.0331,4.66,0.0538,8.21,0.0,0.2293,-0.0642,-0.2704,0.207,-0.7136,0.585,6.53,0.0,False,True
1233,POWW,Industrials,Aerospace & Defense,USA,272460000.0,-999,460.0,-999,1.8,0.75,0.42,0.2517,1.8871,0.0006,0.2441,-0.086,3.35,-0.0422,2.77,0.04,-0.1241,0.0939,-0.2698,0.465,-0.9885,91.0,2.3,128098.0,True,True
1248,PDS,Energy,Oil & Gas Drilling,Canada,875600000.0,9.25,5.95,-999,0.61,0.81,2.53,0.2245,0.071,0.0,0.4815,-0.339,1.95,0.1127,1.48,0.75,0.0752,0.1008,-0.2668,0.4692,-0.9195,10.2243,61.06,0.0,False,True
1257,SCOR,Communication Services,Internet Content & Information,USA,93770000.0,-999,2.98,-999,0.25,1.09,6.36,0.2896,-0.0252,2.1947,0.442,-0.0373,6.26,-0.1685,0.51,0.18,-0.1781,0.2741,-0.2649,1.0521,-0.9848,1.0521,19.7,58564.0,False,False
