No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
443,HMST,Financial,Banks - Regional,USA,281960000.0,-999,13.91,-999,0.65,0.56,-999,0.0655,0.011,0.0,0.7444,-0.0352,3.6,-0.0295,-999,4.17,-0.036,0.5522,-0.5028,2.569,-0.7389,2.569,14.99,0.0,False,True
444,HAIN,Consumer Defensive,Packaged Foods,USA,987710000.0,-999,19.57,-999,0.55,1.01,0.43,-999,-0.0597,0.0674,0.9503,0.0562,2.5,-0.1324,1.02,0.94,-0.0751,0.0202,-0.5027,0.1763,-0.8442,7.808,11.01,824794.0,True,True
453,INMD,Healthcare,Medical Devices,Israel,2020000000.0,11.54,9.9,1.83,4.05,2.79,8.12,0.7078,0.4711,0.0,0.737,-0.0001,5.13,0.293,11.87,0.0,0.3618,0.0849,-0.497,0.3069,-0.7555,2.7167,24.27,0.0,False,True
455,SCYX,Healthcare,Drug Manufacturers - Specialty & Generic,USA,72560000.0,1.54,43.33,-999,0.53,0.79,2.38,0.3097,-0.5356,0.0,0.4416,-0.0019,6.47,1.3223,6.88,0.16,0.5314,0.0798,-0.4961,0.6957,-0.987,0.6957,1.95,0.0,False,False
468,TNDM,Healthcare,Medical Devices,USA,1520000000.0,-999,-999,-999,1.98,4.85,7.64,0.3516,0.4741,0.0262,1.0736,0.0197,3.19,-0.5666,3.28,1.33,-0.2702,-0.0389,-0.4914,0.691,-0.9227,9.9206,23.37,241507.0,True,True
472,MXL,Technology,Semiconductors,USA,1820000000.0,-999,26.37,-999,2.12,2.59,2.49,-999,0.3632,0.0,0.8454,-0.0037,3.63,-0.0054,1.69,0.23,-0.0042,0.0677,-0.4897,0.659,-0.714,4.6263,22.28,0.0,False,True
476,TRVG,Communication Services,Internet Content & Information,Germany,53290000.0,-999,32.56,-999,0.1,5.37,14.57,-0.4598,-0.0016,0.0,0.1356,0.007,1.33,-0.4372,1.64,0.19,-0.3209,-0.0337,-0.4883,0.1157,-0.9572,0.1169,2.45,0.0,False,True
486,CLNE,Energy,Oil & Gas Refining & Marketing,USA,702510000.0,-999,-999,-999,1.64,1.03,0.79,0.13,0.0881,0.0,0.4839,0.0179,6.46,-0.1325,2.42,0.33,-0.2168,-0.1056,-0.4836,0.0714,-0.8727,2.0,3.15,0.0,False,True
496,EP,Energy,Oil & Gas E&P,USA,159770000.0,-999,-999,-999,4.09,8.49,0.48,-999,5.0266,0.2258,0.4275,0.5859,7.59,-0.4623,1.0,0.89,-0.2552,-0.1793,-0.4791,0.2332,-0.9316,217.125,6.98,10076607.0,True,True
508,RYAM,Basic Materials,Chemicals,USA,297300000.0,-999,-999,-999,0.17,0.38,0.42,-999,-0.0171,0.0,0.768,-0.0456,3.02,-0.0467,0.82,0.98,-0.0212,0.2026,-0.474,0.7105,-0.897,4.055,4.55,0.0,False,True
509,HBI,Consumer Cyclical,Apparel Manufacturing,USA,1620000000.0,-999,10.18,-999,0.28,5.91,0.55,-999,-0.0175,0.0,0.865,-0.062,5.15,-1.0829,0.65,14.71,-0.0884,0.1337,-0.4739,0.3079,-0.867,2.6031,4.63,0.0,False,True
512,ASUR,Technology,Software - Application,USA,224890000.0,-999,13.64,-999,1.84,1.17,1.32,-0.0648,0.1165,0.0013,0.674,-0.0455,2.94,-0.0398,1.16,0.05,-0.0548,0.0959,-0.472,0.4354,-0.9478,12.575,9.05,23490.0,False,True
517,CHMI,Real Estate,REIT - Mortgage,USA,102790000.0,-999,4.23,-999,1.22,0.74,2.61,-0.315,-0.369,0.0573,0.1372,-0.0608,1.23,-0.1351,-999,4.53,-0.5175,-0.0414,-0.4707,0.3755,-0.7934,0.4779,3.81,29949.0,False,True
519,PARA,Communication Services,Entertainment,USA,8960000000.0,-999,12.68,-999,0.3,0.41,2.77,0.1283,0.0282,0.0,0.7432,0.0206,4.87,-0.0658,1.09,0.79,-0.0384,-0.0517,-0.4697,0.3083,-0.8652,3.4935,13.75,0.0,False,True
