No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
1477,DOC,S&P 500,Real Estate,REIT - Healthcare Facilities,USA,14000000000.0,56.55,35.53,-999,6.19,1.58,89.07,16.44,0.22,0.0606,2.1583,0.11,-0.2665,0.3627,-0.2423,-0.1259,0.0592,0.1539,-0.9498,0.0031,-0.0018,0.9265,-0.0178,0.0159,0.0249,0.0114,-999,-999,0.91,1.05,0.2428,0.0854,0.0174,0.1044,0.1591,-0.0255,1.08,0.0798,-0.1113,0.3051,-0.6058,3.6529,Apr 25/a,19.89
1478,DOCN,RUT,Technology,Software - Infrastructure,USA,3370000000.0,71.48,19.98,5.76,4.73,-999,8.04,27.97,4.6,-999,0.0,0.39,0.032,0.1285,-999,0.124,0.2794,0.1187,1.4125,0.3702,-0.0282,0.4936,0.0124,0.111,-0.3911,0.0387,2.73,2.73,-999,-999,0.6004,0.0701,0.0304,0.1236,-0.0819,0.1051,1.85,0.0131,-0.2842,0.9082,-0.7226,0.9082,May 10/b,37.0
1479,DOCS,-999,Healthcare,Health Information Services,USA,5230000000.0,38.96,26.25,3.69,11.0,6.04,6.85,28.17,4.09,-999,0.0,0.22,0.0309,0.0903,1.9361,0.1055,0.4301,0.0639,0.387,0.3683,-0.0004,0.5566,0.0352,0.0972,0.1581,0.1615,6.2,7.97,0.01,0.02,0.8934,0.3104,0.1994,0.1293,-0.0758,-0.1227,1.15,0.0912,-0.2276,0.4221,-0.74,0.4221,May 16/a,28.03
1480,DOCU,-999,Technology,Software - Application,USA,12330000000.0,169.33,17.13,8.47,4.46,10.94,11.78,13.9,5.11,-999,0.0,0.79,0.0889,0.0832,-999,0.2,0.3247,0.0801,4.3942,0.0103,-0.0914,0.7949,-0.0067,0.038,0.0847,0.0592,0.92,0.92,0.11,0.13,0.7889,0.0268,0.0377,0.0557,0.199,0.1516,0.9,0.0343,-0.0702,0.58,-0.8087,0.7175,Mar 07/a,60.22
1481,DOGZ,-999,Consumer Cyclical,Leisure,China,90090000.0,-999,-999,-999,6.5,1.19,36.33,-999,0.23,-999,-999,-999,-999,-999,-999,-999,-0.0734,-0.3581,-3.0013,0.8473,0.0,0.0022,0.0709,0.013,-0.0938,-0.0824,1.83,1.41,0.2,0.25,0.1629,-0.5369,0.3803,0.2548,0.8837,-0.5047,1.1,0.2022,-0.5296,2.0233,-0.9531,2.0233,-999,8.42
1482,DOLE,RUT,Consumer Defensive,Farm Products,Ireland,1220000000.0,8.37,9.19,-999,0.15,0.97,4.33,6.15,2.97,0.0252,0.2086,0.41,-0.0337,0.1647,-999,-0.0352,0.1414,-0.1205,1.4328,0.3523,0.0,0.4872,-0.1086,0.0275,0.121,0.0612,1.12,0.9,0.91,1.15,0.0847,0.0177,0.0422,0.08,0.1696,0.0754,0.86,0.0695,-0.0839,0.2161,-0.2735,0.7819,May 15/b,12.83
1483,DOMA,-999,Financial,Insurance - Property & Casualty,USA,84340000.0,-999,-999,-999,0.27,-999,-999,-999,-999,-999,-999,-1.48,0.2953,0.2837,-7.4839,-999,-0.103,-0.115,0.5313,0.6083,-0.0005,0.1529,-0.1381,0.0151,-45.3002,-0.8301,1.96,-999,-999,-999,-999,-0.3275,-0.0017,-0.0033,0.4131,-0.1944,1.58,0.0736,-0.3623,0.5596,-0.9773,0.5596,May 07/a,6.02
1484,DOMH,-999,Healthcare,Biotechnology,USA,12690000.0,-999,-999,-999,3.72,0.27,1.79,-999,1.19,-999,-999,-999,-999,-999,-999,-999,-0.3357,-999,-0.2799,0.1319,0.228,0.0776,0.1588,0.0001,-0.4208,-0.4854,15.89,15.89,0.06,0.07,0.8644,-7.2111,0.0102,-0.2357,0.019,-0.233,0.89,-0.1269,-0.3706,0.2159,-1.0,0.2159,-999,2.14
1485,DOMO,RUT,Technology,Software - Application,USA,281690000.0,-999,-999,-999,0.88,-999,4.62,-999,1.6,-999,-999,-0.23,-0.65,0.6315,0.2598,-999,0.1773,0.007,0.1103,0.1654,-0.033,0.6235,0.0068,0.0646,-999,-999,0.58,0.58,-999,-999,0.7355,-0.2369,0.0293,-0.0551,-0.316,-0.5014,2.34,-0.1236,-0.5943,0.0513,-0.925,0.0513,Mar 07/a,7.38
1486,DOOO,-999,Consumer Cyclical,Recreational Vehicles,Canada,5130000000.0,9.74,9.43,-999,0.67,8.47,13.94,7.36,4.91,0.0078,0.0747,0.7,-0.296,0.2549,0.3214,-999,0.1479,-0.1274,-0.4603,0.5302,0.0,0.3808,-999,0.0452,1.0985,0.202,1.41,0.55,3.52,3.65,0.2509,0.0719,-0.0281,0.005,0.0284,-0.0892,2.12,0.0081,-0.2625,0.1969,-0.3357,5.8421,May 31/b,68.4
1487,DOOR,-999,Industrials,Building Products & Equipment,USA,2920000000.0,21.11,16.58,2.18,1.05,3.21,12.02,7.86,11.05,-999,0.0,2.14,-0.0058,0.0699,0.0936,0.0967,0.0566,-0.0794,0.5974,0.0146,-0.0066,0.8546,-0.0119,0.0335,0.1676,0.0647,2.47,1.57,1.39,1.47,0.2251,0.0508,0.0014,0.019,0.0237,0.4566,1.62,0.0104,-0.0004,0.7281,-0.0004,5.642,May 06/a,132.84
1488,DORM,RUT,Consumer Cyclical,Auto Parts,USA,2830000000.0,18.38,14.53,1.23,1.47,2.41,82.26,14.88,1.11,-999,0.0,1.19,0.2416,0.1153,0.0037,0.15,0.1507,0.0042,4.8296,0.1566,-0.0001,0.8005,-0.0296,0.0153,0.1407,0.0901,2.5,1.17,0.48,0.56,0.374,0.081,-0.012,0.0389,0.1105,0.0448,0.83,-0.0058,-0.0733,0.5219,-0.2572,320.5414,May 07/b,91.33
1489,DOUG,RUT,Real Estate,Real Estate Services,USA,122500000.0,-999,7.88,-999,0.13,0.63,1.26,-999,1.07,-999,-999,0.01,0.4718,1.6437,-999,-999,0.0913,-0.0627,-1.2809,0.2234,0.001,0.4862,-0.0028,0.0425,-0.2984,-0.2189,-999,-999,0.55,0.66,0.1448,-0.0704,0.1356,0.072,-0.3463,-0.5589,1.46,-0.0956,-0.5868,0.2885,-0.8889,0.2885,May 10/b,1.34
1490,DOV,S&P 500,Industrials,Specialty Industrial Machinery,USA,25300000000.0,17.68,18.53,2.08,2.99,4.91,27.21,23.58,6.77,0.0113,0.2701,2.21,0.0336,0.0923,0.1492,0.0852,0.0416,0.0072,1.7807,0.005,-0.0558,0.8808,0.0045,0.0279,0.3038,0.1797,1.31,0.89,0.58,0.77,0.3697,0.1728,-0.0079,0.0918,0.1402,0.3163,1.24,0.0438,-0.0129,0.4467,-0.0129,127.4959,Apr 25/b,184.09
1491,DOW,"DJIA, S&P 500",Basic Materials,Chemicals,USA,41620000000.0,35.3,13.85,1.25,0.96,2.26,9.2,16.67,6.43,0.0481,3.4347,0.74,0.3431,0.4204,-0.3338,0.2815,0.0018,-0.0916,6.3621,0.0023,0.0031,0.6769,-0.0458,0.019,0.0615,0.0333,1.8,1.18,0.94,0.96,0.1136,0.0273,-0.0037,0.0478,0.0669,0.1498,1.25,0.0224,-0.0247,0.2524,-0.1763,1.6966,Apr 25/b,59.19
1492,DOX,-999,Technology,Software - Infrastructure,USA,9520000000.0,18.36,11.57,1.91,1.92,2.68,17.5,14.86,4.67,0.022,0.3789,1.6,0.0881,0.0987,0.1271,0.096,0.0423,0.0184,-0.1807,0.0,-999,0.9479,-0.0018,0.0156,0.1476,0.1219,1.32,1.29,0.22,0.23,0.3708,0.1057,-0.0178,-0.0395,-0.1037,-0.1326,0.75,-0.0662,-0.1805,0.0431,-0.1805,12.9744,May 08/b,81.75
