No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
3349,QTRX,RUT,Healthcare,Medical Devices,USA,991150000.0,-999.0,-999.0,-999.0,8.5,2.81,3.02,-999.0,8.66,-999.0,-999.0,-0.31,0.6864,-0.1983,0.2063,-999.0,0.3161,0.1759,0.7826,0.0959,0.0049,0.841,-0.0741,0.0278,-0.1061,-0.0984,10.84,10.27,0.11,0.12,0.5639,-0.3303,0.0791,0.1844,0.1765,0.9293,1.32,0.0633,-0.0896,1.6148,-0.717,3.1521,Feb 27/a,26.2,438543.0,True,False,5
77,ADV,RUT,Communication Services,Advertising Agencies,USA,1290000000.0,-999.0,8.04,-999.0,0.3,1.19,6.85,7.15,0.57,-999.0,-999.0,0.13,-0.3175,0.1395,-999.0,-0.051,0.0886,0.0428,-2.1381,0.6806,0.0015,0.1893,-0.0731,0.0607,-0.8332,-0.5045,1.76,1.76,1.76,1.78,0.0756,-0.3542,-0.0025,0.0591,0.6485,0.4812,1.67,0.0461,-0.1025,2.4867,-0.717,2.4867,Nov 07/b,3.94,753778.0,True,True,3
4047,TTSH,RUT,Consumer Cyclical,Home Improvement Retail,USA,306370000.0,27.54,-999.0,1.38,0.81,2.58,17.99,8.29,0.38,-999.0,0.0,-999.0,-999.0,-999.0,0.0871,0.2,0.0282,-0.0519,-0.4403,0.4259,0.0381,0.4425,-0.2518,0.01,0.0905,0.0468,1.51,0.36,0.96,1.19,0.5339,0.0286,0.0667,-0.0143,0.0955,0.1986,1.4,0.0096,-0.103,0.6904,-0.7583,73.6381,Nov 02/b,6.88,4427339.0,True,True,3
860,CLF,-999,Basic Materials,Steel,USA,9900000000.0,25.6,11.32,-999.0,0.45,1.27,50.01,6.24,0.4,-999.0,0.0,0.37,0.5182,0.0808,-0.2678,-999.0,0.9332,0.0135,0.2636,0.0195,0.0026,0.6803,0.0643,0.0495,0.0508,0.035,1.89,0.62,0.44,0.46,0.0698,0.0181,0.0,0.115,0.1675,-0.0298,2.02,0.0374,-0.1297,0.46,-0.8361,40.3415,Jan 29/a,19.87,506095.0,True,True,3
3926,TGI,RUT,Industrials,Aerospace & Defense,USA,1130000000.0,-999.0,19.53,-999.0,0.83,-999.0,6.92,-999.0,2.12,-999.0,0.0,0.25,-1.0162,61.1,-999.0,0.026,-0.1355,-0.1335,-2.2925,0.0186,0.0068,0.9448,-0.0588,0.0437,-999.0,-0.0553,2.66,1.65,-999.0,-999.0,0.2497,-0.0389,-0.0054,-0.0393,0.3775,0.1524,2.61,-0.0044,-0.1506,1.0957,-0.8284,3.8576,Feb 07/b,14.67,126004.0,True,True,4
2868,NRP,-999,Energy,Thermal Coal,USA,1090000000.0,7.41,-999.0,-999.0,3.65,2.19,59.11,3.6,1.46,0.0348,0.2017,-999.0,-999.0,-999.0,0.276,0.0,0.2113,-0.163,-0.1261,0.3552,0.0007,0.2789,0.0157,0.0212,0.4888,0.2658,1.14,1.14,0.31,0.38,0.8324,0.6366,-0.0362,-0.1151,0.2275,0.5775,0.45,-0.0565,-0.1553,0.9284,-0.7866,17.3531,Nov 03/b,86.16,222795.0,True,True,6
3703,SNDA,-999,Healthcare,Medical Care Facilities,USA,127980000.0,-999.0,-999.0,-999.0,0.51,-999.0,5.84,-999.0,1.9,-999.0,-999.0,-999.0,-999.0,-999.0,0.1513,0.103,-0.1356,0.064,-0.1942,0.2488,0.5826,0.8031,0.0058,0.0027,-999.0,-0.0611,-999.0,-999.0,-999.0,-999.0,0.1278,-0.1248,-0.0582,0.1802,0.2444,-0.2286,1.75,0.1358,-0.1553,0.85,-0.9735,0.85,Nov 14/b,11.1,10025455.0,True,True,4
1624,FSP,-999,Real Estate,REIT - Office,USA,244090000.0,-999.0,-999.0,-999.0,1.57,0.34,18.72,-999.0,0.13,0.0169,18.8679,0.12,-39.0,0.6842,-999.0,-999.0,-0.115,-0.0685,-3.6443,0.2138,0.0045,0.5745,-0.0129,0.0055,-0.0735,-0.0493,-999.0,-999.0,0.55,0.55,0.11,-0.3503,0.0172,-0.056,-0.0407,-0.1703,0.81,-0.0544,-0.1601,1.1133,-0.8798,1.1133,Nov 07/a,2.36,157120.0,True,True,3
1056,CULP,-999,Consumer Cyclical,Textile Manufacturing,USA,62230000.0,-999.0,15.12,-999.0,0.27,0.74,3.85,-999.0,1.3,-999.0,-999.0,-0.19,0.7257,1.4681,-999.0,0.09,-0.054,0.0059,0.8037,0.1161,0.0228,0.5768,-0.0138,0.0006,-0.2091,-0.2256,2.13,1.06,0.03,0.06,0.1055,-0.0847,-0.0158,-0.062,-0.0513,-0.0861,1.31,-0.0685,-0.1673,0.1881,-0.8672,3.1803,Dec 04/a,4.99,183147.0,True,True,4
1661,GAIA,-999,Communication Services,Entertainment,USA,68800000.0,-999.0,-999.0,-999.0,0.87,0.73,6.13,-999.0,0.49,-999.0,-999.0,-0.02,-0.2,0.2222,0.3725,0.15,0.1862,0.0159,0.7566,0.4004,0.0146,0.3352,0.0571,0.003,-0.0489,-0.0443,0.49,0.49,0.14,0.26,0.6544,-0.0551,-0.0261,0.031,0.1634,0.0952,0.79,0.0493,-0.1694,0.4171,-0.9027,0.4585,Oct 30/a,2.99,309275.0,True,True,5
