No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
154,ALIM,Healthcare,Drug Manufacturers - Specialty & Generic,USA,203910000.0,-999.0,55.57,-999.0,2.98,4.17,0.16,0.1208,0.0446,0.0,0.9063,0.0045,3.66,-1.3088,2.63,1.38,-0.3124,0.0353,-0.1119,1.9923,-0.9796,-999.0,3.89,0.0,False,False,4
3888,TEO,Communication Services,Telecom Services,Argentina,988550000.0,20.37,-999.0,-999.0,0.23,0.73,3.12,-999.0,-0.0036,0.0,0.3809,-0.2358,5.16,0.0356,0.41,0.53,0.0394,0.0394,-0.1127,1.0271,-0.7501,18.473,7.87,0.0,False,True,3
2429,LRFC,Financial,Asset Management,USA,59140000.0,-999.0,15.84,-999.0,2.91,0.64,1.91,-0.095,-0.218,0.0,0.219,-0.0085,0.52,-0.027,-999.0,1.05,-0.125,-0.0151,-0.113,0.1969,-0.8114,1.6399,22.17,0.0,False,False,2
1743,GILT,Technology,Communication Equipment,Israel,359030000.0,25.57,20.45,2.56,1.36,1.35,1.77,-999.0,0.0073,0.0,0.3959,0.0401,0.54,0.0546,1.7,0.01,0.0534,0.0205,-0.1145,0.4058,-0.9983,1.9217,6.34,0.0,False,True,4
1146,DESP,Consumer Cyclical,Travel Services,Argentina,600490000.0,-999.0,13.88,-999.0,1.12,-999.0,3.86,-999.0,0.3565,0.0,0.5991,-0.0082,0.94,-999.0,0.8,-999.0,-0.128,0.0101,-0.1149,0.8532,-0.7514,1.0473,9.09,0.0,False,False,4
3875,TDS,Communication Services,Telecom Services,USA,2170000000.0,-999.0,-999.0,-999.0,0.42,0.47,2.59,-999.0,0.0146,0.0,0.8046,0.0102,2.38,-0.0033,1.13,0.86,-0.0167,0.0285,-0.1159,1.9883,-0.7163,17.3453,19.23,0.0,False,True,5
2370,LGF-A,Communication Services,Entertainment,USA,2510000000.0,-999.0,18.85,-999.0,0.63,-999.0,1.08,-999.0,-0.0079,0.0,0.222,0.0013,7.69,-3.3203,0.35,-999.0,-0.2586,0.0425,-0.1166,0.5422,-0.7421,7.1371,10.68,0.0,False,False,3
76,ADV,Communication Services,Advertising Agencies,USA,1260000000.0,-999.0,7.9,-999.0,0.3,1.17,0.57,-999.0,0.0886,0.0018,0.1851,-0.0731,8.3,-0.8332,1.76,1.78,-0.3542,0.0967,-0.1185,2.4248,-0.722,2.4248,3.87,767522.0,True,True,3
2580,MITT,Real Estate,REIT - Mortgage,USA,182760000.0,11.48,9.01,-999.0,0.66,0.55,4.73,-999.0,0.5252,0.0,0.2118,-0.0327,0.39,0.0659,-999.0,9.76,0.0426,0.0314,-0.1191,0.2884,-0.9228,0.7667,6.21,0.0,False,True,3
2371,LGF-B,Communication Services,Entertainment,USA,2340000000.0,-999.0,17.57,-999.0,0.58,-999.0,1.08,-999.0,-0.0079,0.0,0.4894,-999.0,2.16,-3.3203,0.35,-999.0,-0.2586,0.0328,-0.1218,0.5008,-0.7108,1.5711,9.95,0.0,False,False,3
3720,SPNS,Technology,Software - Application,Israel,1490000000.0,25.55,18.89,2.63,2.96,3.55,3.13,1.6574,0.1334,0.0,0.3696,0.0573,1.38,0.1477,2.08,0.21,0.1169,-0.0075,-0.123,0.4323,-0.8028,36.2946,27.02,0.0,False,True,6
2732,NAT,Industrials,Marine Shipping,Bermuda,881140000.0,7.52,6.86,1.5,2.38,1.65,0.35,-999.0,0.1252,0.0,0.4532,0.2349,1.57,0.224,1.41,0.48,0.3168,-0.01,-0.1263,0.4209,-0.9238,2.0143,4.22,0.0,False,True,5
1162,DHT,Energy,Oil & Gas Midstream,Bermuda,1720000000.0,9.16,6.27,1.83,2.97,1.67,0.45,0.4951,0.1663,0.0,0.5996,-0.0368,1.56,0.1849,1.8,0.43,0.324,0.0204,-0.1278,0.4493,-0.9527,2.2355,10.58,0.0,False,True,6
405,AXR,Real Estate,Real Estate - Development,USA,103610000.0,5.58,-999.0,-999.0,2.53,0.91,4.12,1.6854,0.4662,0.0637,0.3762,-0.0056,2.42,0.1847,-999.0,0.0,0.4568,-0.031,-0.1291,0.6689,-0.8653,9.1387,19.66,2685134.0,True,True,6
3818,SWKH,Financial,Asset Management,USA,211500000.0,13.62,8.36,0.68,5.57,0.76,2.48,0.3542,0.1613,0.0,0.9302,0.0022,6.54,0.0572,-999.0,0.08,0.4184,-0.015,-0.1319,0.1088,-0.999,2.76,16.92,0.0,False,True,6
1181,DLNG,Energy,Oil & Gas Midstream,Greece,103780000.0,2.8,2.35,2.8,0.65,0.33,1.76,0.3367,0.0094,0.0,0.2113,-0.0169,0.28,0.0865,1.92,0.98,0.2335,0.0204,-0.1323,0.2208,-0.8894,1.8776,2.82,0.0,False,True,7
2248,KGC,Basic Materials,Gold,Canada,6750000000.0,27.96,13.8,-999.0,1.61,1.11,0.39,-999.0,0.0599,0.0,0.5649,0.4123,0.88,0.04,0.89,0.4,0.0583,-0.0454,-0.1325,0.6176,-0.8275,3.8889,5.5,0.0,False,True,3
2902,NVRI,Industrials,Waste Management,USA,692130000.0,-999.0,82.57,-999.0,0.34,1.23,1.24,-999.0,0.0907,0.0024,0.9132,-0.0063,4.72,-0.0984,1.26,2.71,-0.0341,0.0876,-0.1334,0.5386,-0.8696,2.4971,8.67,0.0,False,False,3
