No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
3620,SIGI,Financial,Insurance - Property & Casualty,USA,6060000000.0,17.14,11.55,0.95,1.44,2.48,-999,0.1426,0.1033,-0.0268,0.8419,-0.0302,3.27,0.1333,-999,0.19,0.0844,-0.0144,-0.0749,0.1296,-0.0749,68.6209,100.08
3621,SII,Financial,Asset Management,Canada,975840000.0,24.97,23.16,1.56,6.16,3.19,1.0,-0.1061,0.2168,0.0,0.3065,-999,1.39,0.139,-999,0.12,0.2492,0.104,-0.0406,0.3406,-0.6172,2.1789,37.59
3622,SILC,Technology,Communication Equipment,Israel,104170000.0,-999,121.24,-999,0.84,0.56,8.13,-999,-0.0076,0.0,0.5015,0.026,0.37,-0.0168,6.49,0.03,-0.0238,-0.1118,-0.6219,0.1207,-0.8023,76.05,15.41
3623,SILK,Healthcare,Medical Devices,USA,651630000.0,-999,-999,-999,3.83,4.25,4.95,-0.195,0.434,-0.0025,1.0445,-0.0057,3.7,-0.5263,9.11,0.55,-0.3257,0.3495,-0.6941,1.7516,-0.7793,1.7516,16.73
3624,SILV,Basic Materials,Other Precious Metals & Mining,Canada,806330000.0,9.65,12.18,-999,3.59,2.22,0.48,-999,0.0,0.0,0.5227,-999,10.1,0.2741,3.41,0.0,0.3831,-0.1088,-0.2685,0.3293,-0.5707,64.9905,5.53
3625,SIMO,Technology,Semiconductors,Hong Kong,2290000000.0,43.2,14.72,8.64,3.57,2.95,9.41,-0.1022,0.0906,0.0,0.7777,-0.0519,4.24,0.0724,2.71,0.0,0.0828,0.1084,-0.2819,0.383,-0.306,35.0316,68.46
3626,SIRI,Communication Services,Entertainment,USA,18830000000.0,15.1,15.51,2.16,2.1,-999,0.06,0.0466,0.0987,0.0001,0.1044,-0.0506,13.57,-999,0.39,-999,0.1405,-0.0595,-0.3836,0.4759,-0.9254,98.5924,4.9
3627,SITC,Real Estate,REIT - Retail,USA,2900000000.0,33.95,113.53,-999,5.16,1.55,0.3,-999,-0.0473,0.0,0.9334,-0.009,2.49,0.0467,-999,0.87,0.153,0.0218,-0.0474,0.2879,-0.8821,5.1793,13.85
3628,SITE,Industrials,Industrial Distribution,USA,7250000000.0,41.77,36.78,-999,1.72,4.85,1.66,0.3296,0.1759,-0.0807,1.0588,0.003,7.9,0.1248,1.1,0.61,0.0416,0.0346,-0.0878,0.3757,-0.3819,5.3044,160.7
3629,SITM,Technology,Semiconductors,USA,2840000000.0,-999,105.93,-999,17.46,3.95,25.04,0.2656,0.387,-0.0044,0.8259,0.0365,7.0,-0.0884,19.26,0.01,-0.3821,0.0742,-0.1254,0.541,-0.6344,7.1038,124.96
