No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
406,HAIN,Consumer Defensive,Packaged Foods,USA,919530000.0,-999,18.17,-999,0.52,0.94,0.43,-999,-0.0597,0.0674,0.9497,0.0563,2.63,-0.1324,1.02,0.94,-0.0751,-0.0545,-0.537,0.0951,-0.8549,7.2,10.25,824794.0,True,True
408,MATV,Basic Materials,Specialty Chemicals,USA,730620000.0,-999,10.25,-999,0.29,1.09,1.56,-999,0.2195,0.0068,0.9403,0.8559,2.0,-0.5259,1.36,2.67,-0.1854,-0.008,-0.535,0.1621,-0.7878,1.3443,13.48,143860.0,True,True
412,CYH,Healthcare,Medical Care Facilities,USA,511630000.0,2.07,35.45,-999,0.04,-999,0.67,-999,-0.0345,0.1006,0.8081,-0.0765,2.67,-999,1.36,-999,0.0188,0.2618,-0.5331,0.8607,-0.9301,1.0894,3.74,2110000.0,True,True
416,DOUG,Real Estate,Real Estate Services,USA,209280000.0,-999,-999,-999,0.22,0.85,1.48,-999,0.1573,0.0093,0.5042,-0.0028,0.6,-0.174,-999,0.55,-0.0491,0.039,-0.5298,0.5032,-0.8043,0.5032,2.36,315273.0,True,True
424,KRMD,Healthcare,Medical Instruments & Supplies,USA,96820000.0,-999,-999,-999,3.38,3.53,0.24,-999,0.1344,0.0245,0.5614,0.0109,7.7,-0.2754,4.03,0.17,-0.2878,-0.0658,-0.5268,0.06,-0.8349,140.3333,2.12,114742.0,True,True
452,EP,Energy,Oil & Gas E&P,USA,149930000.0,-999,-999,-999,3.84,7.96,0.48,-999,5.0266,0.2258,0.4275,0.5859,7.84,-0.4623,1.0,0.89,-0.2552,-0.2271,-0.5137,0.1572,-0.9358,203.6875,6.55,10076607.0,True,True
464,HQI,Industrials,Staffing & Employment Services,USA,201410000.0,22.59,17.05,-999,5.57,3.21,0.08,0.2251,0.2907,0.0056,0.1033,-0.0724,7.11,0.1449,1.51,0.24,0.2444,-0.0283,-0.5068,0.1601,-0.8636,23.15,14.49,829608.0,True,True
503,VFC,Consumer Cyclical,Apparel Manufacturing,USA,6410000000.0,-999,8.5,-999,0.56,2.9,1.29,-0.3444,0.0021,0.0036,0.8964,0.0046,2.85,-0.0813,0.78,3.53,-0.0189,-0.0494,-0.4868,0.2833,-0.8355,36.0656,16.49,1361448.0,True,True
508,BALY,Consumer Cyclical,Resorts & Casinos,USA,500000000.0,-999,-999,-999,0.21,0.56,6.53,-999,0.7904,0.0124,0.6755,-0.1428,3.64,-0.3989,0.64,5.42,-0.1643,-0.098,-0.486,0.5055,-0.8556,0.518,10.96,760257.0,True,True
513,AMRN,Healthcare,Drug Manufacturers - General,Ireland,469830000.0,-999,-999,-999,1.45,0.85,0.79,-0.0085,0.2237,0.1607,0.2819,-0.0729,5.86,-0.0921,1.74,0.02,-0.1623,0.3388,-0.4843,0.7665,-0.9992,1.5,1.15,285352.0,True,True
546,TNDM,Healthcare,Medical Devices,USA,1580000000.0,-999,-999,-999,2.05,5.04,7.64,0.3516,0.4741,0.0262,1.0838,0.0196,3.3,-0.5666,3.28,1.33,-0.2702,0.0328,-0.4716,0.7569,-0.9197,10.3458,24.28,241507.0,True,True
584,FNKO,Consumer Cyclical,Leisure,USA,366480000.0,-999,-999,-999,0.32,1.52,0.63,-999,0.2105,0.0788,0.6346,0.0526,7.92,-0.5812,0.58,1.68,-0.1631,0.0318,-0.4583,0.3795,-0.7664,1.3301,7.27,8868932.0,True,True
615,HHS,Industrials,Conglomerates,USA,55880000.0,2.54,10.98,-999,0.28,2.72,1.98,-999,-0.0656,0.0261,0.3767,0.1782,1.25,2.7558,1.61,0.93,0.117,0.0973,-0.4479,0.548,-0.9754,6.0364,7.74,499095.0,True,True
657,GOCO,Financial,Insurance Brokers,USA,123770000.0,-999,-999,-999,0.23,0.54,2.76,-999,0.4542,0.0043,0.5519,-0.0809,12.95,-0.4465,-999,2.6,-0.2391,-0.0459,-0.4328,0.8383,-0.9671,1.6261,12.96,100275.0,True,True
667,AMPY,Energy,Oil & Gas E&P,USA,228340000.0,0.63,5.46,0.04,0.7,0.66,0.16,-999,0.2776,0.0226,0.4016,0.0224,2.1,2.3235,0.72,0.37,1.102,-0.029,-0.4291,0.0686,-0.7664,10.8579,5.84,129249.0,True,True
676,EHTH,Financial,Insurance Brokers,USA,172430000.0,-999,-999,-999,0.43,0.31,5.66,-999,0.2104,0.0033,0.6796,-0.1331,1.91,-0.0688,-999,0.12,-0.2382,-0.2356,-0.4248,0.264,-0.96,1.2772,6.08,105705.0,True,True
710,VOXX,Technology,Consumer Electronics,USA,194810000.0,-999,-999,-999,0.39,0.62,0.46,-1.0406,0.032,0.0028,0.4295,-0.0792,9.85,-0.114,0.84,0.16,-0.0787,-0.1703,-0.4156,0.1898,-0.8811,7.62,8.62,31672250.0,True,True
752,SAFE,Real Estate,REIT - Diversified,USA,1500000000.0,-999,13.92,-999,5.33,0.66,0.56,-0.823,-0.3174,0.002,0.647,0.0175,7.79,-0.0897,-999,1.77,-0.6494,0.0055,-0.4062,0.4067,-0.9047,10.5076,21.1,948594.0,True,True
754,UFI,Consumer Cyclical,Textile Manufacturing,USA,113430000.0,-999,9.63,-999,0.19,0.37,2.84,-999,-0.0027,0.1078,0.5644,-0.085,2.6,-0.1585,2.02,0.49,-0.0888,-0.033,-0.4058,0.0701,-0.9522,3.7424,6.26,2095403.0,True,True
773,MX,Technology,Semiconductors,South Korea,272100000.0,-999,-999,-999,1.11,0.79,4.3,-999,-0.1665,0.0235,0.7522,-0.0038,2.0,-0.072,5.12,0.01,-0.1123,-0.0048,-0.399,0.0867,-0.7398,1.2645,7.02,310924.0,True,True
779,AES,Utilities,Utilities - Diversified,USA,11240000000.0,-999,8.8,-999,0.88,5.79,3.98,0.0038,0.0456,0.0255,0.9455,0.0033,2.3,-0.1271,0.74,6.52,-0.0439,-0.0647,-0.3944,0.4681,-0.7695,17.2391,16.78,1418574.0,True,True
794,PRCH,Technology,Software - Application,USA,241240000.0,-999,-999,-999,0.64,-999,3.95,-999,0.6985,0.113,0.4739,-0.1374,5.03,-4.283,1.01,-999,-0.4395,0.1408,-0.3885,3.9293,-0.9113,3.9293,2.44,1874860.0,True,True
798,ULBI,Industrials,Electrical Equipment & Parts,USA,118630000.0,28.67,-999,1.64,0.79,0.97,0.57,-999,0.1219,0.0102,0.2893,-0.0228,2.01,0.0346,1.63,0.23,0.0273,0.0095,-0.3873,0.8808,-0.7091,3.7143,7.26,542033.0,True,True
803,NEWT,Financial,Banks - Regional,USA,315000000.0,12.62,6.93,4.21,1.79,1.52,6.21,-0.099,0.128,0.0118,0.159,-0.1081,12.95,0.103,-999,5.22,0.143,-0.0646,-0.3865,0.1888,-0.7547,308.6519,12.78,232323.0,True,True
828,MPAA,Consumer Cyclical,Auto Parts,USA,193750000.0,-999,7.97,-999,0.28,0.6,0.63,-999,0.0996,0.197,0.7917,0.0097,8.95,-0.0028,0.52,0.78,-0.0013,0.0759,-0.3774,1.3192,-0.7592,23.32,9.88,1073777.0,True,True
839,OFIX,Healthcare,Medical Devices,USA,519790000.0,-999,-999,-999,0.78,0.84,0.92,-999,0.0084,0.0052,0.965,-0.0057,3.23,-0.2872,1.13,0.18,-0.2039,0.1576,-0.3749,0.4768,-0.81,1.5138,14.14,101025.0,True,True
849,BYON,Consumer Cyclical,Internet Retail,USA,1120000000.0,-999,-999,-999,0.71,2.16,7.18,0.2858,0.0788,0.3239,0.6923,-0.1173,2.91,-0.2743,1.74,0.08,-0.1034,0.1179,-0.3723,0.798,-0.8082,8.7431,24.65,2860538.0,True,True
903,WBD,Communication Services,Entertainment,USA,25530000000.0,-999,-999,-999,0.61,0.57,1.01,-0.3819,0.483,0.0002,0.6074,-0.0,3.71,-0.1035,0.88,1.0,-0.1148,-0.0487,-0.3592,0.1294,-0.866,1.0455,10.47,535420.0,True,True
925,BLFS,Healthcare,Medical Instruments & Supplies,USA,782970000.0,-999,-999,-999,5.06,2.29,0.91,-0.7411,0.7447,0.9449,0.9946,0.052,7.17,-0.2762,1.72,0.13,-0.6604,0.2055,-0.3537,0.9484,-0.9874,123.1429,17.38,10106974.0,True,True
927,LFVN,Consumer Defensive,Packaged Foods,USA,71560000.0,28.23,8.66,2.35,0.34,2.44,1.45,-0.1319,0.0119,0.0214,0.2974,0.0984,1.87,0.0836,1.06,0.48,0.012,-0.0709,-0.3521,0.9569,-0.958,11.4979,5.63,276952.0,True,True
975,HRTG,Financial,Insurance - Property & Casualty,USA,193950000.0,6.11,4.9,-999,0.27,1.14,-999,-1.6874,0.0847,0.0091,0.3333,-0.1262,1.02,0.1997,-999,1.0,0.0372,-0.1157,-0.3412,2.4309,-0.7636,4.7589,6.45,499986.0,True,True
984,GCI,Communication Services,Publishing,USA,354330000.0,17.51,136.94,-999,0.13,1.09,0.74,-1.0116,0.2268,0.0153,0.6403,0.0045,16.02,0.0871,0.77,4.05,0.0102,0.1031,-0.3389,0.4691,-0.9076,2.7778,2.38,753800.0,True,True
1001,ORC,Real Estate,REIT - Mortgage,USA,439570000.0,-999,-999,-999,2.77,0.94,7.2,-999,-0.1867,0.3524,0.2926,0.2352,2.44,-0.0725,-999,9.48,-0.1978,0.0562,-0.3365,0.4237,-0.8722,0.4237,8.4,346751.0,True,True
1068,POWW,Industrials,Aerospace & Defense,USA,253500000.0,-999,428.0,-999,1.68,0.7,0.42,0.2517,1.8871,0.0006,0.2453,-0.086,2.98,-0.0422,2.77,0.04,-0.1241,0.0038,-0.3206,0.3631,-0.9893,84.6,2.14,128098.0,True,True
1084,SIRI,Communication Services,Entertainment,USA,20810000000.0,16.63,17.49,2.48,2.33,-999,0.01,0.1685,0.1248,0.0001,0.108,-0.0506,13.58,-999,0.33,-999,0.142,0.06,-0.3182,0.6325,-0.9175,109.1614,5.42,1026900.0,True,True
1172,FARO,Technology,Scientific & Technical Instruments,USA,405530000.0,-999,39.04,-999,1.11,1.57,4.22,-0.1092,-0.0307,0.0438,0.9734,-0.0239,4.48,-0.2163,1.93,0.34,-0.166,0.0772,-0.3002,1.0777,-0.7814,19.1887,21.4,514826.0,True,True
