No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
1,A,S&P 500,Healthcare,Diagnostics & Research,USA,42300000000.0,34.42,23.65,4.28,6.28,6.84,24.2,25.65,5.97,0.0065,0.2148,1.19,0.0112,0.1094,0.3393,0.0805,0.07,-0.0558,-0.0044,0.0038,-0.0793,0.9101,-0.0329,0.011,0.2095,0.1414,2.68,2.04,0.41,0.41,0.5446,0.1835,0.089,0.0856,0.1208,0.0029,1.1,0.0793,-0.0075,0.4912,-0.1961,19.404,Feb 27/a,144.35
2,AA,-999,Basic Materials,Aluminum,USA,4830000000.0,-999,11.65,-999,0.45,1.13,4.49,-999,5.99,0.013,-999,-0.38,1.1101,8.24,-999,0.443,-0.0277,-0.0385,0.6023,0.0121,0.0,0.8441,-0.0563,0.0633,-0.1396,-0.1069,1.45,0.74,0.43,0.46,0.0225,-0.0608,0.0079,-0.0875,-0.0299,-0.5153,2.45,-0.0825,-0.5098,0.1664,-0.7257,4.2151,Jan 17/a,26.91
3,AACI,-999,Financial,Shell Companies,USA,89170000.0,-999,-999,-999,-999,5.36,1783.45,-999,0.01,-999,-999,-999,-999,-999,-999,-999,0.0,-999,-2.5222,0.6871,0.0,0.2858,0.202,0.0002,-0.0156,-0.0774,0.01,0.01,0.0,0.17,-999,-999,-0.0,0.0147,0.0327,0.123,0.01,0.019,-0.0,0.1006,-0.0943,0.2909,-999,11.05
4,AACT,-999,Financial,Shell Companies,USA,658750000.0,38.95,-999,-999,-999,1.31,344.9,-999,0.03,-999,0.0,-999,-999,-999,-999,-999,0.0,-999,-999,0.212,0.0,0.6895,-999,0.0001,-999,0.0333,8.65,8.65,0.01,0.01,-999,-999,-0.0009,0.0048,0.0164,-999,-999,0.0055,-0.02,0.0441,-0.02,0.0441,-999,10.54
5,AADI,RUT,Healthcare,Biotechnology,USA,51760000.0,-999,-999,-999,2.23,0.44,0.43,-999,4.86,-999,-999,-0.65,0.0736,-0.0724,0.2951,-999,2.6656,0.4038,0.1109,0.2936,-0.0392,0.4167,0.1363,0.0571,-0.4414,-0.5322,6.48,6.3,0.01,0.06,0.915,-2.7266,0.0193,0.2126,-0.5772,-0.7734,0.58,0.1364,-0.7758,0.3613,-0.9792,0.3613,Nov 08/b,2.11
6,AAL,S&P 500,Industrials,Airlines,USA,9610000000.0,13.49,4.48,0.28,0.18,-999,1.13,7.96,12.96,-999,0.0,-0.23,-0.0528,0.3047,-0.1773,0.487,0.1693,-0.0096,-0.9742,0.02,-0.0014,0.5237,0.0146,0.0646,-999,0.0269,0.62,0.51,-999,-999,0.2237,0.0156,-0.056,0.0076,0.1267,-0.1033,1.58,0.0173,-0.2311,0.3508,-0.7517,0.7782,Jan 25/b,14.67
7,AAN,RUT,Industrials,Rental & Leasing Services,USA,219810000.0,92.7,11.57,-999,0.1,0.32,3.72,2.56,1.94,0.0691,5.5066,-0.07,-0.884,5.6596,-0.4278,-999,0.0401,-0.1019,-1.1324,0.0412,0.085,0.9249,-0.0744,0.0237,0.0041,0.0022,-999,-999,0.83,1.02,0.5182,0.0013,-0.1502,-0.2839,-0.2371,-0.4335,1.33,-0.3027,-0.552,0.0774,-0.8069,0.0774,Feb 26/a,7.24
8,AAOI,-999,Technology,Communication Equipment,USA,566020000.0,-999,16.93,-999,2.6,2.62,10.27,-999,1.43,-999,-999,-0.29,0.7788,10.3746,-0.7426,0.13,-0.0251,-0.0184,0.4671,0.0769,-0.0107,0.6368,-0.0249,0.2279,-0.2806,-0.1895,1.85,1.16,0.38,0.56,0.2672,-0.2575,-0.0441,-0.2172,-0.104,4.3993,2.07,-0.2007,-0.4044,8.2125,-0.8575,8.9595,Feb 22/a,14.74
9,AAON,RUT,Industrials,Building Products & Equipment,USA,6600000000.0,37.96,29.2,3.16,5.65,8.97,731.87,121.8,0.11,0.004,0.1501,0.47,0.0417,0.2093,0.3182,0.12,0.2388,0.2044,0.1917,0.178,-0.0211,0.7119,-0.002,0.0382,0.2741,0.2232,3.23,1.54,0.08,0.09,0.3297,0.152,-0.0571,0.1037,0.2941,0.2924,0.92,0.0671,-0.0885,0.549,-0.0885,3040.7038,Feb 28/a,80.92
10,AAP,-999,Consumer Cyclical,Specialty Retail,USA,4320000000.0,98.14,16.39,-999,0.38,1.63,8.59,99.04,8.46,0.0138,4.5,0.76,6.7412,0.1457,-0.386,-999,0.0337,-0.0036,-1.3299,0.0106,0.0164,1.0218,-0.0336,0.0823,0.017,0.0068,1.2,0.29,1.59,1.59,0.4245,0.0039,0.1222,0.0718,0.3433,-0.4753,1.15,0.14,-0.4781,0.5223,-0.7029,4.8929,Feb 28/b,72.66
