No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
2804,NIU,Consumer Cyclical,Auto Manufacturers,China,115680000.0,-999.0,7.75,-999.0,0.29,0.61,2.76,0.2354,0.2413,0.0,0.15,-0.1929,3.59,-0.1417,1.31,0.29,-0.0643,-0.1772,-0.6633,0.0734,-0.9685,0.0734,1.68,0.0,False,True,6
4067,UEIC,Technology,Consumer Electronics,USA,110980000.0,-999.0,25.97,-999.0,0.25,0.61,4.64,-999.0,-0.0489,0.125,0.69,-0.0191,1.82,-0.4365,1.04,0.5,-0.22,0.0059,-0.6605,0.2208,-0.8934,3.5707,8.57,2048861.0,True,True,4
74,ADTN,Technology,Communication Equipment,USA,481640000.0,-999.0,51.0,-999.0,0.38,0.7,1.48,-999.0,0.2225,0.0,0.7968,0.4331,2.44,-0.1307,1.42,0.34,-0.0793,-0.0935,-0.6598,0.2464,-0.8717,0.275,6.12,0.0,False,True,5
4018,TTEC,Technology,Information Technology Services,USA,847870000.0,20.81,8.1,-999.0,0.34,1.45,3.34,0.6939,0.1261,0.0,0.3589,-0.0196,5.54,0.0744,1.57,1.88,0.0163,-0.1241,-0.6546,0.1709,-0.8423,4.5523,17.88,0.0,False,True,4
4309,WOLF,Technology,Semiconductors,USA,3710000000.0,-999.0,-999.0,-999.0,4.26,3.22,20.95,0.0117,0.0751,0.0095,1.0599,-0.023,3.89,-0.3157,4.54,4.6,-0.8654,-0.2122,-0.6514,0.1795,-0.7931,43.8812,29.45,855351.0,True,False,4
1216,DQ,Technology,Solar,China,1460000000.0,2.21,5.74,-999.0,0.54,0.31,43.79,0.6878,1.0801,0.0,0.5646,0.0583,3.28,0.1572,4.58,0.0,0.263,-0.129,-0.6505,0.1231,-0.8509,27.5735,19.43,0.0,False,True,7
3726,SPRU,Technology,Solar,USA,66270000.0,-999.0,-999.0,-999.0,0.81,0.27,10.57,-999.0,-0.3333,0.0,0.1663,-0.5343,7.43,-0.2154,2.8,2.62,-0.9203,-0.1137,-0.6505,0.1116,-0.987,0.1116,3.63,0.0,False,True,3
210,AMRC,Industrials,Engineering & Construction,USA,1160000000.0,25.31,12.37,0.93,0.91,1.33,3.15,0.1676,0.2426,0.0032,0.609,-0.0038,7.98,0.0559,1.13,1.71,0.0368,-0.1969,-0.6499,0.2022,-0.7828,4.6573,22.12,1258488.0,True,True,4
924,CNTY,Consumer Cyclical,Resorts & Casinos,USA,105650000.0,-999.0,-999.0,-999.0,0.21,0.82,6.23,0.0109,0.2678,0.0097,0.6277,-0.0111,6.83,-0.1565,2.39,7.89,-0.042,-0.1708,-0.6499,0.141,-0.7883,8.28,3.48,236815.0,True,True,5
2036,IEP,Energy,Oil & Gas Refining & Marketing,USA,7880000000.0,-999.0,19.78,-999.0,0.64,1.87,14.88,-999.0,0.1603,0.0,0.9072,0.0314,4.06,-0.1753,2.28,2.71,-0.0635,0.1096,-0.6478,0.2793,-0.8701,2.2653,19.19,0.0,False,False,3
4364,XPEV,Consumer Cyclical,Auto Manufacturers,China,6400000000.0,-999.0,-999.0,-999.0,2.0,1.83,5.58,-0.4123,58.1518,0.0,0.1026,-0.0097,4.35,-0.3386,1.27,0.49,-0.5013,-0.3372,-0.6456,0.1153,-0.8876,0.3544,8.37,0.0,False,False,4
2984,OMCL,Healthcare,Health Information Services,USA,1240000000.0,-999.0,18.47,-999.0,1.08,1.05,11.02,-999.0,0.104,0.0,1.011,-0.0267,3.55,-0.0176,2.22,0.51,-0.0178,-0.2173,-0.6456,-0.0241,-0.854,20.1895,27.33,0.0,False,True,4
2447,LUMN,Communication Services,Telecom Services,USA,1490000000.0,-999.0,-999.0,-999.0,0.1,0.67,2.21,-0.4515,-0.0897,0.0872,0.6762,0.0065,8.87,-1.8975,1.07,48.2,-0.7074,-0.0373,-0.6434,0.8972,-0.9698,0.8972,1.48,1617366.0,True,True,3
1791,GORV,Consumer Cyclical,Auto & Truck Dealerships,USA,69870000.0,-999.0,-999.0,-999.0,0.06,0.26,2.35,0.2649,0.2283,0.3125,0.8362,0.0018,6.87,-0.0124,0.17,2.21,-0.007,-0.1908,-0.6422,0.272,-0.8065,2.2129,4.98,0.0,False,True,4
2218,JRVR,Financial,Insurance - Specialty,Bermuda,337250000.0,5.9,5.22,0.86,0.36,0.6,-999.0,-0.1633,-0.0075,0.0,0.9166,-0.0676,1.12,0.1023,-999.0,0.46,0.0644,-0.014,-0.6404,0.1186,-0.8439,0.1186,8.96,0.0,False,True,3
902,CMTL,Technology,Communication Equipment,USA,169970000.0,-999.0,12.35,-999.0,0.3,0.39,0.64,-999.0,0.0011,0.0,0.7005,-0.0189,1.27,-0.031,0.69,0.41,-0.0427,-0.2765,-0.6398,0.0347,-0.8971,11.8746,5.97,0.0,False,True,4
