No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
1,A,S&P 500,Healthcare,Diagnostics & Research,USA,43330000000.0,35.22,24.23,4.37,6.43,7.0,24.79,26.27,5.96,0.0064,0.2148,1.19,0.0112,0.1094,0.3393,0.0805,0.07,-0.0558,-0.0013,0.0038,-0.122,0.9097,-0.0329,0.0094,0.2095,0.1395,2.68,2.04,0.43,0.44,0.5454,0.1835,0.0242,0.1087,0.1623,0.0893,1.11,0.0991,-0.0247,0.5273,-0.1767,19.8973,Feb 27/a,147.84
2,AA,-999,Basic Materials,Aluminum,USA,5350000000.0,-999,12.9,-999,0.5,1.25,4.97,-999,5.99,0.0117,-999,-0.38,1.1101,8.24,-999,0.443,-0.0277,-0.0385,0.6023,0.0121,0.0,0.8443,-0.0563,0.0667,-0.1396,-0.1069,1.45,0.74,0.43,0.46,0.0225,-0.0608,0.107,0.1078,0.1906,-0.3367,2.45,0.0296,-0.3556,0.2913,-0.6963,4.7733,Jan 17/a,29.79
3,AACI,-999,Financial,Shell Companies,USA,88690000.0,-999,-999,-999,-999,5.34,1773.79,-999,0.01,-999,-999,-999,-999,-999,-999,-999,0.0,-999,-2.5222,0.6871,0.0,0.2858,0.2034,0.0002,-0.0156,-0.0774,0.01,0.01,0.0,0.17,-999,-999,0.0,0.0081,0.0271,0.1123,0.0,0.0117,-0.0054,0.0946,-0.0992,0.2839,-999,10.99
4,AACT,-999,Financial,Shell Companies,USA,659380000.0,38.99,-999,-999,-999,1.31,345.22,-999,0.03,-999,0.0,-999,-999,-999,-999,-999,0.0,-999,-999,0.212,0.0,0.6895,-999,0.0001,-999,0.0333,8.65,8.65,0.01,0.01,-999,-999,0.0009,0.0038,0.0164,-999,-999,0.0053,-0.0191,0.0451,-0.0191,0.0451,-999,10.55
5,AAL,S&P 500,Industrials,Airlines,USA,9140000000.0,12.83,4.21,0.26,0.17,-999,1.08,7.57,12.96,-999,0.0,-0.23,-0.052,0.3213,-0.1773,0.487,0.1693,-0.0096,-0.9742,0.02,-0.0014,0.5238,0.0146,0.0589,-999,0.0269,0.62,0.51,-999,-999,0.2237,0.0156,-0.0484,-0.0618,0.0145,-0.097,1.58,-0.036,-0.2683,0.2855,-0.7637,0.6921,Jan 25/b,13.96
6,AAN,RUT,Industrials,Rental & Leasing Services,USA,211910000.0,89.37,10.93,-999,0.1,0.31,3.59,2.46,1.94,0.0716,5.5066,-0.07,-0.893,6.3654,-0.4278,-999,0.0401,-0.1019,-1.1324,0.046,0.0755,0.925,-0.0744,0.0238,0.0041,0.0022,-999,-999,0.83,1.02,0.5182,0.0013,-0.0359,-0.3295,-0.3301,-0.3746,1.32,-0.3013,-0.5681,0.0387,-0.8138,0.0387,Feb 26/a,6.98
7,AAOI,-999,Technology,Communication Equipment,USA,547580000.0,-999,16.37,-999,2.52,2.53,9.94,-999,1.43,-999,-999,-0.29,0.7788,10.3746,-0.7426,0.13,-0.0251,-0.0184,0.4671,0.0712,-0.0136,0.6382,-0.0249,0.2566,-0.2806,-0.1895,1.85,1.16,0.38,0.56,0.2672,-0.2575,-0.0326,-0.2881,-0.2783,4.3609,2.06,-0.1971,-0.4238,7.9125,-0.8621,8.6351,Feb 22/a,14.26
8,AAON,RUT,Industrials,Building Products & Equipment,USA,6530000000.0,37.52,28.86,3.13,5.58,8.87,723.46,120.4,0.11,0.004,0.1501,0.47,0.0417,0.2093,0.3182,0.12,0.2388,0.2044,0.1917,0.178,-0.0206,0.712,-0.002,0.0384,0.2741,0.2232,3.23,1.54,0.08,0.09,0.3297,0.152,-0.0115,-0.0173,0.2242,0.3261,0.91,0.0442,-0.099,0.5312,-0.099,3005.746,Feb 28/a,79.99
9,AAP,-999,Consumer Cyclical,Specialty Retail,USA,4670000000.0,106.0,17.81,-999,0.41,1.76,9.27,106.98,8.46,0.0127,4.5,0.79,6.7751,0.1338,-0.386,-0.051,0.0337,-0.0036,-1.3299,0.0106,0.0164,1.0218,-0.0336,0.0987,0.017,0.0068,1.2,0.29,1.59,1.59,0.4245,0.0039,0.0801,0.2398,0.3947,-0.3871,1.16,0.2074,-0.3958,0.6442,-0.6791,5.365,Feb 28/b,78.48
10,AAPL,"DJIA, NDX, S&P 500",Technology,Consumer Electronics,USA,2675000000000.0,26.95,24.24,2.45,6.94,36.14,36.59,25.03,4.73,0.0058,0.1532,1.51,0.0717,0.0879,0.1555,0.11,0.0834,0.0207,0.1581,0.0009,-0.0505,0.6175,-0.0048,0.0073,1.5427,0.5965,1.07,1.02,1.28,1.46,0.4503,0.2616,0.0183,-0.0827,-0.1149,0.1665,1.28,-0.0616,-0.1322,0.1729,-0.1322,3526.5962,Feb 01/a,173.23
11,AAT,RUT,Real Estate,REIT - Diversified,USA,1300000000.0,25.44,25.98,-999,2.94,1.08,15.65,12.26,1.36,0.0687,1.5763,0.14,-0.131,0.1233,0.1484,-999,0.0614,0.0612,0.3785,0.2211,0.0,0.7681,-0.018,0.0231,0.0423,0.0178,-999,-999,1.36,1.44,0.3575,0.1142,-0.0153,-0.0431,-0.0098,0.0763,1.27,-0.0445,-0.1095,0.3278,-0.5676,0.3278,Feb 06/a,21.3
12,AB,-999,Financial,Asset Management,USA,3790000000.0,14.49,9.77,-999,-999,1.87,-999,12.9,0.0,0.0904,1.1201,0.72,0.1212,0.1512,-0.0129,-0.0388,0.0,-999,0.2073,0.0325,0.0,0.1798,0.0264,0.0102,0.1274,0.1273,-999,-999,0.0,0.0,-999,-999,0.0092,0.0214,0.1295,-0.08,1.27,0.0295,-0.0888,0.3132,-0.6427,13.0966,Feb 06/a,33.92
