No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
1,LUNR,Industrials,Aerospace & Defense,USA,58880000.0,-,-,-,-,-,1.94,-,-0.1804,0.0,0.183,0.0613,0.95,-,0.48,-,-,0.0103,-0.9794,0.3401,-0.9794,0.3401,2.8
2,NVVE,Consumer Cyclical,Specialty Retail,USA,148700000.0,-,-,-,19.16,8.61,0.29,-,0.3035,4.3294,0.1262,0.1491,0.24,-1.4146,1.1,0.5,-4.1947,-0.4871,-0.9718,0.0205,-0.9967,0.0719,2.98
3,VTYX,Healthcare,Biotechnology,USA,119710000.0,-,-,-,-,0.42,5.1,-,0.0,-0.0374,0.7416,0.0865,1.69,-0.5439,11.76,0.04,-,-0.1272,-0.957,0.0885,-0.957,0.0885,2.03
4,TYGO,Technology,Solar,USA,85760000.0,-,-,-,1.25,0.35,0.95,-,0.0,-0.0015,0.1626,0.0208,1.25,-0.3058,1.58,3.02,-0.3466,-0.2709,-0.9459,0.0429,-0.9459,0.0429,1.46
5,XBP,Technology,Software - Infrastructure,USA,84480000.0,-,-,-,-,-,0.0,-,0.0,-0.0046,0.2585,-0.646,0.41,-0.0365,0.01,-,-,-0.7462,-0.9409,0.0853,-0.9409,0.1155,2.8
6,AMC,Communication Services,Entertainment,USA,888650000.0,-,-,-,0.19,-,3.79,0.2454,0.2027,-0.0256,0.1995,-0.1298,1.22,-,0.64,-,-0.1069,-0.3149,-0.9405,0.1172,-0.9886,0.1172,4.48
7,BNGO,Healthcare,Medical Instruments & Supplies,USA,51270000.0,-,-,-,1.53,0.39,1.64,0.278,0.3361,0.0,0.1351,-0.1814,2.96,-1.1343,1.94,0.09,-6.7622,-0.1504,-0.9347,0.1528,-0.9916,0.1528,1.32
8,ACRS,Healthcare,Diagnostics & Research,USA,89260000.0,-,-,-,4.17,0.57,1.45,0.1139,0.9161,0.001,0.8824,0.004,1.12,-0.6094,4.5,0.01,-5.3483,-0.0468,-0.932,1.1349,-0.9628,1.1349,1.26
9,CSLR,Technology,Solar,USA,52540000.0,-,-,-,-,0.23,0.0,-,0.0,0.0,0.2208,0.0364,3.95,0.0008,0.0,0.04,-,-0.1337,-0.9275,0.2889,-0.9275,0.2889,1.16
10,CUTR,Healthcare,Medical Devices,USA,54440000.0,-,-,-,0.24,-,9.0,-,0.1467,0.0211,1.1131,-0.0073,2.66,-44.4726,2.81,-,-0.3329,0.0031,-0.9269,0.9783,-0.9633,0.9783,2.73
11,BTAI,Healthcare,Biotechnology,USA,78120000.0,-,-,-,63.0,-,3.01,-0.8464,0.0,0.0,0.3442,-0.0579,1.04,-4.8995,2.45,-,-170.3744,-0.2451,-0.9235,0.1704,-0.9635,0.1704,2.61
12,SCLX,Healthcare,Drug Manufacturers - General,USA,244760000.0,-,-,-,7.35,-,0.01,-,0.1072,0.0,0.1825,-0.0971,5.75,-1.6331,0.09,-,-3.5131,0.0675,-0.9083,0.722,-0.9083,0.722,1.55
13,PROK,Healthcare,Biotechnology,USA,91980000.0,-,-,-,-,-,5.9,-,0.0,-0.3428,0.5199,0.0212,14.26,-,19.37,-,-,-0.1791,-0.9035,0.2232,-0.9035,0.2232,1.37
14,FEAM,Basic Materials,Specialty Chemicals,USA,53090000.0,-,-,-,-,1.19,0.27,-,0.0,0.0,0.2054,0.1955,24.15,-0.7853,1.42,0.92,-,-0.288,-0.8933,0.081,-0.9758,0.081,1.2
15,RAIN,Healthcare,Biotechnology,USA,55570000.0,-,-,-,-,0.66,1.71,-,0.0,0.0062,0.3325,0.0198,1.85,-0.9704,5.58,0.01,-,0.0686,-0.8913,0.5,-0.9485,0.5,1.23
16,ZURA,Healthcare,Biotechnology,USA,185260000.0,-,-,-,-,2.9,2.38,-,0.0,-0.0809,0.4359,0.026,2.41,-,6.15,0.0,-,-0.0305,-0.8868,0.174,-0.8868,0.174,4.25
17,EBS,Healthcare,Drug Manufacturers - Specialty & Generic,USA,102200000.0,-,3.31,-,0.09,0.15,1.69,-,0.1476,-0.0003,0.795,-0.0191,8.45,-0.7414,0.54,1.26,-0.7206,-0.114,-0.8818,0.0975,-0.9857,0.0975,1.97
18,MAXN,Technology,Solar,Singapore,251760000.0,-,-,-,0.21,1.48,5.25,0.3074,0.0748,0.0,0.5141,0.0042,3.39,-1.1212,0.87,2.56,-0.1356,-0.1213,-0.8774,0.2199,-0.9177,0.2199,4.77
19,DZSI,Technology,Communication Equipment,USA,53320000.0,-,3.46,-,0.14,0.4,0.96,-,0.076,0.0,0.2721,0.0248,4.5,-0.3981,1.01,0.44,-0.1323,0.0582,-0.8753,0.3441,-0.991,0.3441,1.66
20,OM,Healthcare,Medical Devices,USA,194270000.0,-,-,-,1.47,1.28,3.86,-0.1832,2.5009,-0.0675,1.1147,-0.0461,5.79,-0.8147,4.44,0.68,-1.3319,-0.2485,-0.8733,0.3345,-0.9422,0.3345,3.87
21,DADA,Consumer Cyclical,Internet Retail,China,521400000.0,-,8.93,-,0.34,0.56,2.3,0.0039,0.4963,0.0,0.2353,-0.0664,1.37,-0.1508,3.26,0.0,-0.0961,-0.3563,-0.8724,0.4686,-0.9675,0.4686,1.99
22,EGRX,Healthcare,Drug Manufacturers - Specialty & Generic,USA,57420000.0,4.86,-,1.8,0.22,0.23,1.18,-0.0356,0.159,-0.0249,0.8038,-0.0144,2.91,0.0488,1.61,0.29,0.0464,-0.32,-0.8721,0.078,-0.9576,0.078,4.42
23,FREY,Industrials,Electrical Equipment & Parts,USA,191400000.0,-,-,-,-,0.3,2.35,-,0.0,0.0,0.444,0.0494,3.96,-0.0431,7.05,0.03,-,-0.2487,-0.8694,0.096,-0.9191,0.096,1.37
24,RPHM,Healthcare,Biotechnology,USA,53130000.0,-,-,-,-,0.47,3.77,-,0.0,-0.0014,0.562,0.0031,1.66,-0.5942,9.49,0.01,-,-0.6199,-0.8588,0.6274,-0.9072,0.6274,1.6
25,CHPT,Consumer Cyclical,Specialty Retail,USA,819340000.0,-,-,-,1.51,2.09,0.95,-1.4039,0.1175,-0.039,0.3334,-0.004,4.48,-1.206,1.77,0.77,-0.811,-0.1456,-0.8564,0.2564,-0.9604,0.2564,1.96
26,WISH,Consumer Cyclical,Internet Retail,USA,111890000.0,-,-,-,0.32,0.41,18.83,-0.0631,-0.1179,0.0,0.3296,-0.522,3.81,-0.8487,2.29,0.05,-1.0113,-0.1129,-0.8548,0.312,-0.9953,0.312,4.66
27,RLYB,Healthcare,Biotechnology,USA,55170000.0,-,-,-,-,0.45,3.21,-,0.0,0.0,0.335,0.0049,4.6,-0.552,14.08,0.0,-,-0.3964,-0.8522,0.0735,-0.9434,0.0735,1.46
28,NINE,Energy,Oil & Gas Equipment & Services,USA,84060000.0,-,-,-,0.13,-,0.34,-,0.0506,-0.0435,0.57,0.1082,3.97,-,1.79,-,-0.022,0.0147,-0.8497,0.3333,-0.9411,5.2632,2.38
29,PLUG,Industrials,Electrical Equipment & Parts,USA,1720000000.0,-,-,-,1.93,0.49,0.94,-0.1573,0.4213,-0.0005,0.5365,0.0869,4.13,-0.2457,1.31,0.28,-1.0674,-0.3167,-0.8496,0.2552,-0.9982,23.5887,2.84
30,NVCR,Healthcare,Medical Devices,United Kingdom,1560000000.0,-,-,-,3.09,3.95,8.64,-0.0489,0.2277,-0.0003,0.8218,0.0297,4.74,-0.4702,6.43,1.5,-0.3914,0.1157,-0.8482,0.339,-0.9375,1.4462,14.56
31,ALLK,Healthcare,Biotechnology,USA,105850000.0,-,-,-,-,0.48,2.22,-0.5532,0.0,0.0,0.7664,0.6521,3.08,-0.5879,9.31,0.19,-,-0.4948,-0.8472,0.21,-0.9923,0.21,1.21
32,RVNC,Healthcare,Biotechnology,USA,529490000.0,-,-,-,2.47,-,3.42,-0.041,9.9994,-0.0064,0.9376,0.168,8.67,-20.9678,4.17,-,-1.9342,-0.1871,-0.8412,0.1034,-0.8578,0.1034,6.03
33,LCID,Consumer Cyclical,Auto Manufacturers,USA,6480000000.0,-,-,-,9.31,1.2,1.93,-,13.6258,-0.0,0.1373,0.0064,6.62,-0.613,4.42,0.45,-3.8045,-0.3061,-0.8411,0.1142,-0.9564,0.1142,2.83
34,ENGN,Healthcare,Biotechnology,Canada,174000000.0,-,-,-,-,0.96,0.0,-,0.0,0.0,0.5225,0.0246,0.1,-0.0258,0.01,0.03,-,-0.0715,-0.841,0.1211,-0.841,0.1211,7.5
35,LU,Financial,Credit Services,China,1240000000.0,9.29,2.68,-,0.22,0.1,13.89,0.0951,0.1204,0.0,0.178,-0.105,1.06,0.0104,-,0.46,0.0235,-0.3292,-0.8366,0.0284,-0.9731,0.0284,2.17
36,LPSN,Technology,Software - Application,USA,244140000.0,-,40.72,-,0.57,5.25,2.65,-0.5677,0.2004,0.1242,0.7061,-0.0137,2.91,-1.5103,1.15,13.06,-0.2369,-0.0705,-0.8338,0.2961,-0.9582,42.1429,3.02
37,PMVP,Healthcare,Biotechnology,USA,82880000.0,-,-,-,-,0.35,3.96,-0.4091,0.0,-0.007,0.8309,-0.049,2.96,-0.2909,19.16,0.05,-,-0.3225,-0.8333,0.3787,-0.9744,0.3787,1.62
38,BLNK,Industrials,Engineering & Construction,USA,173920000.0,-,-,-,1.44,0.79,0.99,0.404,1.3988,-0.0972,0.3832,0.0727,2.69,-0.8674,1.71,0.07,-1.7607,-0.1866,-0.8325,0.1835,-0.9993,1.064,2.58
39,EXFY,Technology,Software - Application,USA,164050000.0,-,35.99,-,1.03,1.73,1.34,-,0.301,-0.1691,0.3749,-0.0156,2.02,-0.3945,2.43,0.69,-0.2369,-0.1419,-0.8318,0.2895,-0.9616,0.2895,1.96
40,VERI,Technology,Software - Infrastructure,USA,68690000.0,-,-,-,0.5,3.67,1.94,0.3518,0.5736,0.0099,0.358,0.0124,12.26,-1.4701,0.87,7.58,-0.4792,-0.064,-0.8317,0.25,-0.9753,0.5164,1.85
41,VTNR,Energy,Oil & Gas Refining & Marketing,USA,177670000.0,-,12.53,-,0.05,0.69,0.85,0.2709,3.7619,-0.0112,0.5042,0.0751,5.52,-0.0828,0.49,1.87,-0.0047,-0.405,-0.8304,0.0857,-0.9997,125.6667,1.9
42,TSBX,Healthcare,Biotechnology,USA,51950000.0,-,-,-,-,0.46,4.73,-,-0.2764,0.173,0.3452,-,5.32,-,9.08,0.03,-,-0.0745,-0.8295,0.3846,-0.8295,0.3846,2.25
43,SPWR,Technology,Solar,USA,562910000.0,-,-,-,0.31,1.33,0.61,-,0.0524,0.0,0.5103,1.2859,3.45,-0.2296,0.47,0.86,-0.0705,-0.2607,-0.8273,0.1707,-0.9702,0.3215,3.21
44,DOMA,Financial,Insurance - Property & Casualty,USA,55510000.0,-,-,-,0.16,-,-,-4.602,-0.0457,-0.0014,0.1667,-0.1429,27.19,-2.3974,-,-,-0.6345,-0.1807,-0.825,0.0699,-0.9844,0.0699,4.13
45,ACRV,Healthcare,Biotechnology,USA,99010000.0,-,-,-,-,0.72,6.43,-,0.0,0.0,0.5888,-,8.4,-0.4656,15.54,0.03,-,-0.0411,-0.8241,0.3133,-0.8241,0.3133,4.48
46,PSQH,Technology,Software - Application,USA,154760000.0,-,-,-,76.24,15.18,1.03,-,0.0,0.0,0.148,0.0557,5.28,-0.322,9.04,0.01,-14.0901,0.1468,-0.8218,0.4744,-0.8218,0.4744,6.34
47,DDL,Consumer Defensive,Grocery Stores,China,214150000.0,-,14.17,-,0.07,3.96,4.29,-,0.9924,0.0,0.119,0.0366,9.7,-0.1561,0.86,12.33,-0.0023,-0.3121,-0.8202,0.1174,-0.9741,0.1174,1.19
48,MCRB,Healthcare,Biotechnology,USA,161570000.0,-,-,-,1.27,-,1.31,-0.0093,0.6489,-0.0011,0.6533,0.1533,3.03,-5.3857,2.47,-,-1.1103,0.0578,-0.818,0.3736,-0.976,0.3736,1.25
49,CMBM,Technology,Communication Equipment,USA,116770000.0,-,-,-,0.44,0.9,0.99,0.1589,0.0594,0.0023,0.3462,0.0021,1.43,-0.1119,1.36,0.23,-0.055,-0.1199,-0.8155,0.1955,-0.9364,0.1955,4.22
50,EOSE,Industrials,Electrical Equipment & Parts,USA,202180000.0,-,-,-,16.27,-,0.32,-,7.4451,0.0113,0.4467,-0.0259,6.24,-,1.47,-,-19.6958,-0.0565,-0.8147,0.4481,-0.9671,0.4481,1.05
51,MOND,Consumer Cyclical,Travel Services,USA,227560000.0,-,-,-,1.13,-,0.56,-,0.3557,0.0013,0.2243,-0.4973,16.77,-0.9989,1.1,4.18,-0.3468,-0.0692,-0.814,0.3802,-0.8439,0.3802,2.65
52,BLUE,Healthcare,Biotechnology,USA,244780000.0,-,-,-,11.26,0.61,0.95,0.1514,-0.2998,-0.0056,0.459,0.075,2.12,-0.4781,1.42,1.36,-4.1962,-0.5256,-0.8138,0.0242,-0.9917,0.0242,1.27
53,WGS,Healthcare,Health Information Services,USA,86700000.0,-,-,-,0.42,0.34,4.42,-,0.1447,-0.0709,0.4427,-0.1197,1.74,-1.125,2.38,0.29,-2.2216,0.4767,-0.8129,1.8879,-0.9963,1.8879,3.35
54,BW,Industrials,Specialty Industrial Machinery,USA,114390000.0,-,51.2,-,0.11,-,0.61,0.6496,-0.0059,0.0945,0.8211,0.0589,1.19,-6.5727,1.09,-,-0.1365,-0.1601,-0.8126,0.3402,-0.9947,0.6623,1.28
55,VCSA,Technology,Software - Application,USA,94000000.0,-,-,-,0.08,0.51,25.19,-,0.572,-0.2381,0.1803,2.0314,8.89,-1.4563,0.79,0.14,-0.361,-0.0244,-0.8103,0.1185,-0.9657,0.1185,7.55
56,ENTA,Healthcare,Biotechnology,USA,248300000.0,-,-,-,3.14,1.15,17.56,-,-0.1621,-0.0228,0.9765,-0.0268,5.26,-0.4974,6.73,1.03,-1.6895,0.1989,-0.81,0.4592,-0.9077,0.4592,11.79
57,SMR,Industrials,Specialty Industrial Machinery,USA,167380000.0,-,-,-,7.72,1.57,1.53,-,1.5622,-0.003,0.3779,0.0449,6.18,-0.5005,1.95,0.0,-2.4078,-0.2281,-0.8074,0.2044,-0.8625,0.2044,2.18
58,BEEP,Industrials,Infrastructure Operations,USA,58200000.0,27.38,-,-,-,27.02,0.0,-,0.0,0.0075,0.825,0.013,0.37,0.0298,0.04,0.0,-,-0.0755,-0.8072,0.2516,-0.8072,0.2516,3.88
