No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
3555,SBLK,-,Industrials,Marine Shipping,Greece,2010000000.0,13.44,4.93,-,2.12,1.23,7.75,6.51,3.09,0.1181,0.8907,0.7,1.1263,0.2411,0.1839,-,0.1671,-0.1063,-0.4558,0.0638,0.0,0.4052,-0.1416,0.0428,0.0943,0.0656,1.26,1.21,0.59,0.75,0.2908,0.1828,0.0578,0.1098,0.1962,-0.0004,1.14,0.1029,-0.0427,0.446,-0.9793,14.2855,Feb 12/a,23.96
3556,SBOW,RUT,Energy,Oil & Gas E&P,USA,723480000.0,2.24,2.64,0.45,1.13,0.72,425.58,-,0.07,-,0.0,2.08,0.3211,0.2547,0.2207,0.05,0.4706,-0.2817,-1.033,0.2569,-0.3617,0.7049,0.0318,0.0953,0.3552,0.1741,0.7,0.7,0.65,0.65,0.4937,0.4505,0.0143,0.0463,-0.0977,0.1407,2.46,0.0347,-0.3527,0.4871,-0.43,17.9667,Feb 28/a,28.45
3557,SBR,-,Energy,Oil & Gas E&P,USA,870240000.0,9.67,-,-,9.32,138.81,90.65,9.67,0.66,0.1001,1.016,-,1.121,-,0.287,-,0.276,-0.638,-0.649,0.01,0.0,0.126,-0.0134,0.0022,9.75,10.763,-,-,0.0,0.0,-,0.963,-0.0405,-0.0635,-0.0307,-0.1915,0.52,-0.0648,-0.2669,0.0736,-0.3448,6.7019,-,59.69
3558,SBRA,RUT,Real Estate,REIT - Healthcare Facilities,USA,3240000000.0,239.73,22.32,32.84,4.95,1.16,69.29,10.75,0.2,0.086,20.3046,0.14,8.5512,0.0946,-0.4768,0.073,0.0101,0.1192,1.2001,0.0151,0.0006,0.9209,0.001,0.0582,0.0047,0.0027,-,-,0.8,0.87,0.4214,0.021,0.0101,0.0386,-0.0338,0.1881,1.16,0.0138,-0.0541,0.4321,-0.6388,78.2327,Feb 27/a,14.0
3559,SBS,-,Utilities,Utilities - Regulated Water,Brazil,10900000000.0,18.49,12.3,1.32,2.28,1.84,18.01,12.46,0.89,0.015,0.3015,0.31,0.0606,0.317,-0.0519,0.14,0.0056,0.1579,-0.1589,0.0001,0.0,0.1115,0.0039,0.0033,0.1075,0.0642,1.0,0.98,0.55,0.64,0.3423,0.1231,-0.0099,0.0198,0.1575,0.6102,1.23,0.0253,-0.0438,0.9436,-0.0438,33.1446,Nov 10/b,15.95
3560,SBSI,RUT,Financial,Banks - Regional,USA,854360000.0,10.06,9.68,5.03,2.16,1.11,-,11.38,-,0.0516,0.4967,0.7,-0.2244,0.04,0.0595,0.02,0.0877,0.1784,-0.3393,0.0562,0.0007,0.5609,0.0157,0.0288,0.1141,0.0912,0.13,-,0.23,1.16,-,0.2192,-0.0285,-0.1378,0.0254,-0.2672,0.53,-0.0784,-0.2613,0.1154,-0.3743,9.4329,Jan 26/b,28.29
3561,SBSW,-,Basic Materials,Gold,South Africa,2850000000.0,3.68,6.53,-,0.39,0.56,2.43,15.22,1.66,0.0326,0.2902,-,-0.6466,0.2457,-,-,0.2709,-0.2724,-0.4777,0.0013,0.0,0.1478,0.059,0.0293,0.149,0.1195,3.14,1.72,0.26,0.27,0.2091,0.1071,-0.0584,-0.1842,-0.0964,-0.5162,1.64,-0.1662,-0.5921,0.0075,-0.8051,1.443,Aug 29/b,4.03
3562,SBT,RUT,Financial,Banks - Regional,USA,258270000.0,34.18,31.0,-,1.99,0.79,-,-,-,0.0081,0.0,0.03,-0.0667,0.1429,-0.3436,-,-0.0521,0.1972,27.0263,0.6549,0.0,0.2649,0.0148,0.0144,0.0232,0.019,16.79,-,0.19,0.19,-,0.0572,-0.0369,-0.0932,-0.1434,-0.1948,0.56,-0.0758,-0.2077,0.1767,-0.6689,0.9644,Jan 24/b,4.96
3563,SBUX,"NDX, S&P 500",Consumer Cyclical,Restaurants,USA,105290000000.0,24.87,19.67,1.55,2.87,-,31.12,24.0,2.99,0.0248,0.5918,0.82,0.1481,0.1635,0.0203,0.1604,0.084,0.0816,0.2107,0.0261,-0.0004,0.7278,0.0213,0.013,-,0.3281,0.7,0.52,-,-,0.2241,0.1171,-0.0213,-0.0085,-0.0914,-0.0922,0.98,-0.0124,-0.1947,0.0425,-0.2638,289.3415,Jan 30/a,93.0
3564,SBXC,-,Financial,Shell Companies,USA,180000000.0,-,-,-,-,1.3,189.48,-,0.06,-,-,-,-,-,-,-,0.0,-,347.0,0.2,0.0,0.7593,-,0.0003,-,-,1.13,1.13,0.0,0.0,-,-,0.0005,0.0063,0.0196,-,-,0.0054,-0.0782,0.0487,-0.0782,0.0487,-,10.44
3565,SCD,-,Financial,Closed-End Fund - Equity,USA,241300000.0,9.51,-,-,34.3,0.94,-,-,-,0.084,0.9147,-,-,-,-,-,-,-0.412,-,-,-,0.3335,-,0.001,-,-,-,-,-,-,-,-,0.0021,0.0137,0.0932,0.163,1.42,0.0114,-0.0263,0.2723,-0.2402,1.6094,-,14.08
3566,SCHL,RUT,Communication Services,Publishing,USA,1190000000.0,22.22,12.88,2.44,0.72,1.1,7.95,11.29,5.0,0.0204,0.3217,-0.58,-0.1285,0.424,-,0.091,0.018,-0.043,0.159,0.2002,0.0,0.777,-0.0125,0.0201,0.0516,0.0509,1.32,0.85,0.08,0.11,0.5129,0.036,0.0208,0.004,0.0295,-0.1352,1.06,0.039,-0.1577,0.3049,-0.2995,3.2842,Dec 14/a,39.8
3567,SCHW,S&P 500,Financial,Capital Markets,USA,116360000000.0,25.86,15.07,2.4,4.56,3.66,1.72,-,38.13,0.0165,0.3939,0.75,0.0789,0.2902,0.0075,0.1078,0.1974,-0.0027,-0.4789,0.0592,-0.0026,0.8551,-0.0058,0.0093,0.1307,0.0514,-,-,1.21,1.46,0.7578,0.1822,0.0237,0.0267,0.1723,-0.157,0.99,0.0053,-0.1603,0.4589,-0.3179,544.6428,Jan 17/b,65.65
