No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
1,A,S&P 500,Healthcare,Diagnostics & Research,USA,39510000000.0,32.11,22.28,3.38,5.78,6.74,24.85,26.8,5.43,0.0069,0.2148,1.22,0.0055,0.1064,0.3393,0.095,0.07,-0.0871,0.3128,0.0038,-0.082,0.9082,-0.0329,0.0099,0.2224,0.1426,2.61,1.97,0.49,0.5,0.5465,0.1815,0.0112,0.0336,0.187,-0.1114,1.11,0.0131,-0.102,0.393,-0.2491,18.0598,Feb 27/a,134.84
2,AA,-,Basic Materials,Aluminum,USA,4890000000.0,-,11.21,-,0.46,1.08,4.87,-,5.63,0.0128,-,-0.47,1.065,15.5762,-,0.123,-0.0301,-0.0389,0.6023,0.0112,0.0,0.8605,-0.0566,0.0665,-0.1396,-0.1088,1.45,0.74,0.41,0.43,0.0224,-0.0608,0.019,0.0243,0.0167,-0.434,2.47,-0.0672,-0.5084,0.1877,-0.7207,4.3101,Jan 17/a,27.4
3,AACI,-,Financial,Shell Companies,USA,88610000.0,-,-,-,-,5.33,1772.17,-,0.01,-,-,-,-,-,-,-,0.0,-,-2.5222,0.6871,0.0,0.2827,0.2018,0.0006,-0.0156,-0.0774,0.01,0.01,0.0,0.17,-,-,0.0073,0.0129,0.0214,0.1113,0.01,0.0154,-0.0063,0.098,-0.1,0.2827,-,10.98
4,AACT,-,Financial,Shell Companies,USA,657500000.0,-,-,-,-,1.33,292.22,-,0.04,-,-,-,-,-,-,-,0.0,-,-,0.212,0.0,0.6899,-,0.0002,-,-,8.96,8.96,0.01,0.01,-,-,0.0014,0.0053,0.0184,-,-,0.0061,-0.0219,0.0421,-0.0219,0.0421,-,10.52
5,AAL,S&P 500,Industrials,Airlines,USA,9570000000.0,13.46,4.52,0.28,0.18,-,1.13,7.93,12.99,-,0.0,-0.22,-0.0522,0.2891,-0.1677,0.487,0.1693,-0.0096,-0.9742,0.0149,-0.0018,0.5245,0.0146,0.0634,-,0.0269,0.62,0.51,-,-,0.2237,0.0156,-0.0161,0.0593,0.1787,-0.1286,1.57,0.0341,-0.2327,0.3481,-0.7522,0.7745,Jan 25/b,14.64
6,AAN,RUT,Industrials,Rental & Leasing Services,USA,318770000.0,35.8,9.67,-,0.14,0.45,8.11,3.11,1.3,0.0476,-,0.03,-0.4726,-0.0046,-,-,0.0623,-0.1141,0.7351,0.0412,0.0851,0.9245,-0.0744,0.0239,0.0133,0.0068,-,-,0.95,0.98,0.5115,0.0042,0.0096,0.0264,0.1943,-0.3026,1.47,-0.0193,-0.3496,0.564,-0.7197,0.564,Feb 26/a,10.51
7,AAOI,-,Technology,Communication Equipment,USA,758420000.0,-,49.24,-,3.47,4.1,24.28,-,0.88,-,-,0.0,0.5192,1.8924,-,0.13,-0.0256,0.1033,0.5133,0.0766,-0.0169,0.6882,-0.0268,0.2387,-0.3313,-0.341,0.87,0.51,0.03,0.74,0.1958,-0.2854,0.0654,0.284,0.679,6.5406,2.14,0.1154,-0.1138,12.3375,-0.7936,13.4189,Feb 22/a,21.34
8,AAON,RUT,Industrials,Building Products & Equipment,USA,6850000000.0,41.3,35.27,3.44,6.13,10.03,303.84,233.66,0.28,0.0047,0.2317,0.53,0.7177,0.1221,0.1249,0.12,0.2199,0.2859,0.6986,0.1779,-0.0212,0.7152,-0.002,0.0348,0.281,0.2162,3.03,1.5,0.15,0.15,0.3168,0.1518,0.0356,0.1983,0.3221,0.6014,0.91,0.1666,-0.0102,0.6369,-0.0102,3167.7548,Feb 28/a,84.3
9,AAP,-,Consumer Cyclical,Specialty Retail,USA,3840000000.0,20.67,17.71,-,0.34,1.45,12.08,-,5.34,0.0269,0.7259,0.21,-0.8805,1.3364,0.0518,-,0.0392,0.0294,-1.4449,0.0106,0.0164,1.0171,-0.0336,0.0791,0.0694,0.028,1.23,0.27,1.51,1.51,0.4151,0.0165,0.0188,0.0373,0.1584,-0.5737,1.16,0.0326,-0.5759,0.3511,-0.7363,4.2303,Feb 28/b,64.49
10,AAPL,"DJIA, NDX, S&P 500",Technology,Consumer Electronics,USA,2815210000000.0,28.37,25.55,2.58,7.3,38.04,38.51,26.34,4.73,0.0055,0.1532,1.52,0.0712,0.0865,0.1555,0.11,0.0834,0.0207,0.1581,0.0009,-0.044,0.6157,-0.0048,0.0064,1.5427,0.5965,1.07,1.02,1.28,1.46,0.4503,0.2616,-0.0346,-0.0335,-0.0303,0.1737,1.3,-0.0409,-0.0867,0.2669,-0.0867,3711.4982,Feb 01/a,182.31
