No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
1,A,Healthcare,Diagnostics & Research,USA,39090000000.0,31.77,22.05,4.13,5.72,6.67,5.43,0.3393,0.07,-0.082,0.9017,-0.0329,1.58,0.2224,1.97,0.5,0.1815,0.0062,-0.1465,0.3784,-0.257,17.8598,133.43
2,AA,Basic Materials,Aluminum,USA,4820000000.0,-,11.06,-,0.45,1.07,5.63,-,-0.0301,0.0,0.8294,-0.0566,1.81,-0.1396,0.74,0.43,-0.0608,-0.0791,-0.515,0.1719,-0.7244,4.2393,27.03
3,AACI,Financial,Shell Companies,USA,87960000.0,-,-,-,-,5.23,0.01,-,0.0,0.0,0.292,0.2016,0.03,-0.0039,0.01,0.15,-,0.0106,-0.0136,0.09,-0.1066,0.2734,10.9
4,AACT,Financial,Shell Companies,USA,656250000.0,-,-,-,-,1.32,0.04,-,0.0,0.0,0.6355,-,0.05,-,8.96,0.01,-,0.0055,-0.0237,0.0401,-0.0237,0.0401,10.5
5,AAL,Industrials,Airlines,USA,9660000000.0,13.59,4.55,0.28,0.18,-,12.99,-0.1677,0.1693,-0.0018,0.6011,0.0146,1.35,-,0.51,-,0.0156,0.0608,-0.2251,0.3614,-0.7497,0.7921,14.78
6,AAN,Industrials,Rental & Leasing Services,USA,316810000.0,35.58,9.61,-,0.14,0.45,1.3,-,0.0623,0.0851,0.8918,-0.0744,1.99,0.0133,-,0.98,0.0042,-0.0132,-0.3536,0.5544,-0.7214,0.5544,10.45
7,AAOI,Technology,Communication Equipment,USA,671000000.0,-,43.56,-,3.07,3.63,0.88,-,-0.0256,-0.0705,0.5012,-0.0268,2.48,-0.3313,0.51,0.74,-0.2854,0.0157,-0.2159,10.8,-0.8174,11.7568,18.88
8,AAON,Industrials,Building Products & Equipment,USA,6520000000.0,39.32,33.58,3.28,5.84,9.55,0.28,0.1249,0.2199,-0.0212,0.7164,-0.002,6.68,0.281,1.5,0.15,0.1518,0.1411,0.0076,0.6062,0.0076,3016.083,80.26
9,AAP,Consumer Cyclical,Specialty Retail,USA,3780000000.0,20.35,17.28,-,0.33,1.43,5.34,0.0518,0.0392,0.0164,0.9795,-0.0344,3.11,0.0694,0.27,1.51,0.0165,0.0365,-0.5903,0.3306,-0.7403,4.1509,63.51
10,AAPL,Technology,Consumer Electronics,USA,2914370000000.0,29.37,26.46,2.67,7.56,39.38,4.73,0.1555,0.0834,-0.044,0.6118,-0.0047,1.89,1.5427,1.02,1.46,0.2616,-0.0093,-0.0545,0.3115,-0.0545,3842.2534,188.73
11,AAT,Real Estate,REIT - Diversified,USA,1350000000.0,26.59,27.02,-,3.05,1.13,1.37,0.0949,0.0614,0.0,0.781,-0.018,3.92,0.0421,-,1.41,0.1142,-0.0118,-0.1997,0.3814,-0.5501,0.3814,22.16
12,AB,Financial,Asset Management,USA,3710000000.0,14.16,9.64,-,-,1.88,0.0,-0.0129,0.0,-0.0017,0.1573,0.0271,2.17,0.1406,-,0.0,-,0.0458,-0.211,0.283,-0.6509,12.7725,33.14
13,ABBV,Healthcare,Drug Manufacturers - General,USA,307180000000.0,63.81,14.24,-,5.66,25.4,7.53,-0.0561,0.1176,-0.0013,0.7175,0.001,2.44,0.4615,0.84,5.02,0.0889,0.1,-0.0109,0.3285,-0.0109,4.3517,173.99
14,ABCB,Financial,Banks - Regional,USA,3250000000.0,12.09,9.78,1.51,2.23,0.95,-,0.0681,0.2693,0.0,0.9166,0.0045,3.24,0.0812,-,0.19,0.1844,-0.0551,-0.1275,0.6628,-0.2129,13.0384,47.11
15,ABCL,Healthcare,Biotechnology,Canada,1480000000.0,-,-,-,29.45,1.24,2.79,3.0835,5.0744,0.0,0.3811,0.1126,17.11,-0.1062,8.33,0.07,-2.5627,-0.0324,-0.517,0.3217,-0.9289,0.3217,5.11
16,ABEO,Healthcare,Biotechnology,USA,147880000.0,-,-,-,41.42,6.69,2.18,0.1964,-0.5572,0.0034,0.5216,0.2573,2.86,-2.0679,6.81,0.26,-10.8529,0.213,0.0051,1.726,-1.0,1.726,5.97
17,ABG,Consumer Cyclical,Auto & Truck Dealerships,USA,4280000000.0,7.27,6.45,-,0.29,1.32,2.22,0.2827,0.1891,-0.0697,1.0932,0.0141,12.94,0.196,0.42,1.54,0.0407,-0.0308,-0.1892,0.1653,-0.1892,128.925,207.88
18,ABM,Industrials,Specialty Business Services,USA,2520000000.0,10.6,11.08,2.9,0.31,1.4,1.11,0.2081,0.0522,-0.0425,0.9039,-0.0326,2.79,0.1429,1.4,0.81,0.031,-0.0686,-0.2429,0.0679,-0.276,23.8764,40.17
19,ABNB,Consumer Cyclical,Travel Services,USA,94650000000.0,17.91,33.98,0.84,9.86,10.36,17.16,-,0.2986,-0.0189,0.5188,-0.0118,3.87,0.7447,1.78,0.25,0.5687,0.0545,-0.0456,0.4281,-0.3276,0.8054,147.88
20,ABOS,Healthcare,Biotechnology,USA,184440000.0,-,-,-,-,0.66,3.72,-,-0.3846,-0.0041,0.6298,0.0436,1.46,-0.2044,35.85,0.0,-,-0.0352,-0.7184,0.7596,-0.8819,0.7596,3.18
21,ABR,Real Estate,REIT - Mortgage,USA,2310000000.0,6.93,6.81,0.87,1.44,0.93,6.97,0.0835,0.2333,0.0037,0.5594,0.0003,10.74,0.1242,-,3.95,0.2042,-0.1391,-0.2681,0.329,-0.5931,24.0302,12.26
22,ABSI,Healthcare,Biotechnology,USA,410790000.0,-,-,-,59.19,2.09,1.39,-,0.5075,0.0,0.3627,0.0387,3.17,-0.4352,4.82,0.09,-15.3513,0.3092,-0.192,2.978,-0.8598,2.978,4.42
23,ABT,Healthcare,Medical Devices,USA,194420000000.0,34.29,21.75,4.4,4.85,5.19,4.06,0.1974,0.061,-0.0091,0.7666,0.0027,1.93,0.1406,1.23,0.41,0.1423,0.0179,-0.0332,0.2489,-0.2147,146.7904,111.99
24,ABUS,Healthcare,Biotechnology,USA,454720000.0,-,-,-,20.45,3.81,0.8,0.2166,0.8254,-0.0008,0.431,0.0489,7.55,-0.5699,6.34,0.08,-3.3932,0.1778,-0.1378,0.6046,-0.9139,2.3013,2.71
25,ACA,Industrials,Engineering & Construction,USA,4020000000.0,14.03,25.15,3.42,1.81,1.74,3.18,0.2237,0.1143,-0.0581,0.888,-0.0105,2.06,0.1314,1.46,0.24,0.1283,0.0414,-0.0205,0.487,-0.0205,2.9279,82.49
26,ACAB,Financial,Shell Companies,USA,115640000.0,75.72,-,-,-,5.37,0.09,-,0.0,0.0,0.2705,0.1233,0.12,0.027,0.19,0.0,-,-0.009,-0.0728,0.0797,-0.0728,0.0797,10.57
27,ACAC,Financial,Shell Companies,USA,60110000.0,85.92,-,-,-,1.91,0.01,-,-,0.0,0.7131,-,0.08,0.0163,0.04,0.04,-,0.0101,-0.0331,0.1245,-0.0331,0.1245,11.11
28,ACAD,Healthcare,Biotechnology,USA,4240000000.0,-,25.16,-,6.7,11.68,2.11,0.1076,0.2455,-0.0804,0.9622,0.0092,4.69,-0.3778,2.28,0.16,-0.2355,-0.0453,-0.2408,0.4571,-0.5605,38.7,25.81
29,ACAH,Financial,Shell Companies,Ireland,138020000.0,42.67,-,-,-,9.03,0.12,-,0.0,0.0,0.2778,-0.0721,0.14,0.0648,0.16,0.0,-,0.0735,-0.0249,0.1305,-0.0249,0.1811,11.35
30,ACCD,Healthcare,Health Information Services,USA,1050000000.0,-,-,-,2.69,2.39,2.97,-0.3843,0.3817,-0.0163,0.8011,0.0152,4.18,-0.2666,2.31,0.56,-0.3159,0.179,-0.2061,1.1327,-0.7931,1.9284,13.5
31,ACCO,Industrials,Business Equipment & Supplies,USA,596640000.0,10.73,5.22,1.07,0.32,0.75,0.78,-,0.0098,-0.0031,0.8503,-0.0474,3.65,0.0697,0.9,1.26,0.0306,0.063,-0.0375,0.4633,-0.7801,8.6692,6.28
32,ACEL,Consumer Cyclical,Gambling,USA,871320000.0,20.86,12.38,-,0.76,4.41,2.72,-,0.4179,-0.0261,0.4989,-0.028,5.1,0.2266,2.99,2.61,0.0374,0.0136,-0.1473,0.2409,-0.32,0.9684,10.27
33,ACET,Healthcare,Biotechnology,USA,276840000.0,-,-,-,-,0.75,2.23,0.5081,4.5262,0.258,0.4211,0.0945,2.75,-0.5584,9.4,0.11,-,0.5601,-0.6021,2.0674,-0.9772,2.0674,3.37
34,ACGL,Financial,Insurance - Diversified,Bermuda,30760000000.0,10.55,10.61,0.54,2.46,2.13,-,0.2291,0.1547,-0.0349,0.8982,-0.0011,1.91,0.2196,-,0.18,0.234,0.0464,-0.0906,0.3275,-0.0906,66.451,82.44
