No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
4069,UFPI,Basic Materials,Lumber & Wood Production,USA,7120000000.0,13.54,14.52,0.8,0.94,2.44,16.14,0.414,0.2353,-0.0167,0.8181,-0.02,2.78,0.1934,2.93,0.13,0.0681,-0.0165,-0.1047,0.5355,-0.1047,58.1534,115.18
4070,UFPT,Healthcare,Medical Devices,USA,1340000000.0,32.39,26.65,-,3.45,4.93,0.84,0.3415,0.2027,-0.1481,0.8671,-0.0104,3.53,0.1676,1.25,0.21,0.1072,0.035,-0.1424,0.697,-0.1424,836.5239,175.88
4071,UGI,Utilities,Utilities - Regulated Gas,USA,5140000000.0,-,8.4,-,0.62,1.22,1.44,-,0.0454,0.0,0.8242,-0.0023,1.89,-0.0946,0.79,1.67,-0.0548,0.0582,-0.4318,0.2155,-0.5862,12.3854,24.54
4072,UHAL-B,Industrials,Rental & Leasing Services,USA,12590000000.0,17.04,-,-,2.19,1.79,10.94,-0.3541,0.1059,0.0,0.3257,-,6.64,-,1.84,0.92,0.1284,0.0369,-0.1021,0.4723,-0.1021,0.4723,64.22
4073,UHS,Healthcare,Medical Care Facilities,USA,11290000000.0,17.08,13.75,1.29,0.81,1.83,1.16,0.0321,0.0564,-0.0001,0.8465,-0.0332,3.25,0.1134,1.28,0.89,0.0482,0.0908,-0.0126,0.4313,-0.0138,444.7568,162.73
4074,UHT,Real Estate,REIT - Healthcare Facilities,USA,550870000.0,31.56,-,-,5.78,2.62,0.6,-0.1451,0.0448,0.0,0.6541,-0.016,1.66,0.0786,-,1.77,0.1828,-0.0512,-0.307,0.0773,-0.699,3.8315,39.86
4075,UIS,Technology,Information Technology Services,USA,456850000.0,-,44.53,-,0.23,-,5.63,-0.0387,-0.081,0.0,0.8621,0.0103,2.31,-,1.37,-,-0.1275,0.13,-0.1403,1.5692,-0.9866,1.5692,6.68
4076,ULBI,Industrials,Electrical Equipment & Parts,USA,116180000.0,28.08,-,1.6,0.77,0.95,0.57,-,0.1219,0.0102,0.2894,-0.0228,2.89,0.0346,1.63,0.23,0.0273,0.0035,-0.4,0.842,-0.7151,3.6169,7.11
4077,ULCC,Industrials,Airlines,USA,1190000000.0,18.6,19.97,-,0.33,2.21,2.9,-,0.2311,-0.007,0.2153,-0.0458,5.32,0.1269,0.51,6.17,0.0178,0.1157,-0.6169,0.6928,-0.7621,0.6928,5.4
4078,ULH,Industrials,Trucking,USA,788400000.0,7.52,7.87,2.51,0.46,1.55,1.04,0.4509,0.091,0.0,0.2621,-0.0106,4.46,0.2268,1.36,0.95,0.0607,0.0835,-0.3333,0.4388,-0.3333,2.4407,30.0
