No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
1,LUNR,Industrials,Aerospace & Defense,USA,64140000.0,-,-,-,-,-,1.94,-,-0.1804,0.0,0.1836,0.0613,1.31,-,0.48,-,-,0.1128,-0.9776,0.4597,-0.9776,0.4597,3.05
2,VTYX,Healthcare,Biotechnology,USA,125020000.0,-,-,-,-,0.44,5.1,-,0.0,-0.0356,0.7386,0.0865,1.57,-0.5439,11.76,0.04,-,-0.0664,-0.9551,0.1367,-0.9551,0.1367,2.12
3,XBP,Technology,Software - Infrastructure,USA,74350000.0,-,-,-,-,-,0.0,-,0.0,-0.0046,0.2585,-0.6384,0.39,-0.0365,0.01,-,-,-0.7526,-0.948,0.0904,-0.948,0.0904,2.46
4,TYGO,Technology,Solar,USA,88110000.0,-,-,-,1.28,0.36,0.95,-,0.0,-0.0015,0.16,0.0216,0.72,-0.3058,1.58,3.02,-0.3466,-0.2246,-0.9444,0.1111,-0.9444,0.1111,1.5
5,AMC,Communication Services,Entertainment,USA,847000000.0,-,-,-,0.18,-,3.79,0.2454,0.2027,-0.0256,0.2,-0.1298,1.28,-,0.64,-,-0.1069,-0.2957,-0.9433,0.0648,-0.9892,0.0729,4.27
6,ACRS,Healthcare,Diagnostics & Research,USA,86420000.0,-,-,-,4.03,0.55,1.45,0.1139,0.9161,0.001,0.882,0.004,1.24,-0.6094,4.5,0.01,-5.3483,0.1918,-0.9342,1.0671,-0.964,1.0671,1.22
7,FGEN,Healthcare,Biotechnology,USA,168160000.0,-,-,-,1.09,-,2.56,-0.1363,-0.0438,-0.0006,0.7027,0.029,6.72,-427.9017,1.54,-,-1.8981,1.4626,-0.9334,4.1305,-0.9751,4.1305,1.71
8,CUTR,Healthcare,Medical Devices,USA,59420000.0,-,-,-,0.26,-,9.0,-,0.1467,0.0211,1.113,-0.0073,3.1,-44.4726,2.81,-,-0.3329,0.0871,-0.9202,1.1594,-0.9599,1.1594,2.98
9,CSLR,Technology,Solar,USA,60240000.0,-,-,-,-,0.27,0.0,-,0.0,0.0,0.2208,0.0361,4.57,0.0008,0.0,0.04,-,-0.0182,-0.9169,0.4778,-0.9169,0.4778,1.33
10,TWOU,Consumer Defensive,Education & Training Services,USA,94380000.0,-,-,-,0.1,0.37,0.66,-0.4735,0.2457,0.0174,0.7666,0.0055,3.23,-0.7649,0.74,3.82,-0.3098,0.0681,-0.9125,0.5738,-0.9883,0.5738,1.15
11,RBT,Technology,Software - Application,USA,52390000.0,-,-,-,0.08,-,0.36,-,0.1584,0.0317,0.1415,0.2793,2.14,-1.8987,0.68,-,-0.0813,-0.2104,-0.9116,0.4553,-0.9833,0.4553,1.4
12,ZURA,Healthcare,Biotechnology,USA,145150000.0,-,-,-,-,2.27,2.38,-,0.0,-0.0809,0.4359,0.026,1.82,-,6.15,0.0,-,-0.2319,-0.9113,0.0882,-0.9113,0.0882,3.33
13,BTAI,Healthcare,Biotechnology,USA,102660000.0,-,-,-,82.79,-,3.01,-0.8464,0.0,0.0,0.343,-0.0579,1.9,-4.8995,2.45,-,-170.3744,0.0538,-0.8995,0.5381,-0.952,0.5381,3.43
14,SCLX,Healthcare,Drug Manufacturers - General,USA,270030000.0,-,-,-,8.11,-,0.01,-,0.1072,0.0,0.1825,-0.0971,6.57,-1.6331,0.09,-,-3.5131,0.157,-0.8988,0.8998,-0.8988,0.8998,1.71
15,PROK,Healthcare,Biotechnology,USA,99370000.0,-,-,-,-,-,5.9,-,0.0,-0.3428,0.5195,0.0212,14.56,-,19.37,-,-,-0.1065,-0.8957,0.3214,-0.8957,0.3214,1.48
16,RAIN,Healthcare,Biotechnology,USA,54670000.0,-,-,-,-,0.65,1.71,-,0.0,0.0062,0.3406,0.0198,2.25,-0.9704,5.58,0.01,-,0.0409,-0.8931,0.4756,-0.9494,0.4756,1.21
17,EBS,Healthcare,Drug Manufacturers - Specialty & Generic,USA,94940000.0,-,3.07,-,0.09,0.14,1.69,-,0.1476,0.0,0.7931,-0.0191,8.76,-0.7414,0.54,1.26,-0.7206,-0.1692,-0.8902,0.0195,-0.9867,0.0398,1.83
18,OM,Healthcare,Medical Devices,USA,177710000.0,-,-,-,1.35,1.17,3.86,-0.1832,2.5009,-0.0675,1.1145,-0.0461,6.81,-0.8147,4.44,0.68,-1.3319,-0.3082,-0.8841,0.2207,-0.9471,0.2207,3.54
19,DADA,Consumer Cyclical,Internet Retail,China,516160000.0,-,8.91,-,0.33,0.55,2.3,0.0039,0.4963,0.0,0.2352,-0.0664,1.39,-0.1508,3.26,0.0,-0.0961,-0.3267,-0.8726,0.4539,-0.9678,0.4539,1.97
20,VTNR,Energy,Oil & Gas Refining & Marketing,USA,136990000.0,-,-,-,0.04,0.53,0.85,0.2709,3.7619,-0.0112,0.4553,0.0751,5.69,-0.0828,0.49,1.87,-0.0047,-0.5043,-0.8692,0.1098,-0.9998,96.6667,1.47
21,DZSI,Technology,Communication Equipment,USA,56210000.0,-,3.65,-,0.14,0.43,0.96,-,0.076,0.0,0.2721,0.0248,5.2,-0.3981,1.01,0.44,-0.1323,0.107,-0.8686,0.417,-0.9905,0.417,1.75
22,MAXN,Technology,Solar,Singapore,272340000.0,-,-,-,0.22,1.6,5.25,0.3074,0.0748,0.0,0.5089,0.0042,3.37,-1.1212,0.87,2.56,-0.1356,-0.0384,-0.8674,0.3197,-0.911,0.3197,5.16
23,FEAM,Basic Materials,Specialty Chemicals,USA,65920000.0,-,-,-,-,1.47,0.27,-,0.0,0.0,0.205,0.2035,20.43,-0.7853,1.42,0.92,-,-0.0663,-0.8639,0.3423,-0.9699,0.3423,1.49
24,RLYB,Healthcare,Biotechnology,USA,52910000.0,-,-,-,-,0.43,3.21,-,0.0,0.0,0.3336,0.0049,4.41,-0.552,14.08,0.0,-,-0.3809,-0.8582,0.0448,-0.9457,0.0606,1.4
25,FREY,Industrials,Electrical Equipment & Parts,USA,201180000.0,-,-,-,-,0.32,2.35,-,0.0,0.0,0.4328,0.0494,2.9,-0.0431,7.05,0.03,-,-0.1608,-0.8574,0.152,-0.915,0.152,1.44
26,WISH,Consumer Cyclical,Internet Retail,USA,112370000.0,-,-,-,0.32,0.41,18.83,-0.0631,-0.1179,0.0,0.3296,-0.522,3.76,-0.8487,2.29,0.05,-1.0113,-0.1026,-0.8542,0.3176,-0.9953,0.3176,4.68
27,PSQH,Technology,Software - Application,USA,128880000.0,-,-,-,63.49,12.65,1.03,-,0.0,0.0,0.1481,0.0557,4.76,-0.322,9.04,0.01,-14.0901,-0.0329,-0.8516,0.2279,-0.8516,0.2279,5.28
28,RPHM,Healthcare,Biotechnology,USA,55960000.0,-,-,-,-,0.5,3.77,-,0.0,-0.0014,0.5621,0.0031,1.36,-0.5942,9.49,0.01,-,-0.5443,-0.8513,0.7141,-0.9022,0.7141,1.68
29,CHPT,Consumer Cyclical,Specialty Retail,USA,852780000.0,-,-,-,1.57,2.17,0.95,-1.4039,0.1175,-0.0386,0.3197,-0.004,4.96,-1.206,1.77,0.77,-0.811,-0.0813,-0.8505,0.3077,-0.9588,0.3077,2.04
